
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1980-08-18,,NS-09,B,61,0.021
1980-08-18,,NS-09,M,30.5,0.008
1980-08-18,,NS-09,S,1,0.007
1980-09-03,,NS-09,B,61,0.01
1980-09-03,,NS-09,M,30.5,0.006
1980-09-03,,NS-09,S,1,0.006
1980-09-24,,NS-09,B,54.9,0.01
1980-09-24,,NS-09,M,30.5,0.012
1980-09-24,,NS-09,S,1,0.007
1980-09-30,,NS-09,B,61,0.009
1980-09-30,,NS-09,M,30.5,0.009
1980-09-30,,NS-09,S,1,0.007
1980-10-20,,NS-09,B,60.4,0.007
1980-10-20,,NS-09,M,30.5,0.008
1980-10-20,,NS-09,S,1,0.009
1980-10-27,,NS-09,B,48.8,0.01
1980-10-27,,NS-09,M,27.4,0.007
1980-10-27,,NS-09,S,1,0.008
1980-11-13,,NS-09,B,60.4,0.008
1980-11-13,,NS-09,M,30.5,0.008
1980-11-13,,NS-09,S,1,0.009
1981-04-29,,NS-09,B,1,0.002
1981-04-29,,NS-09,M,1,0.002
1981-04-29,,NS-09,S,1,0.002
1981-05-20,,NS-09,B,1,0.004
1981-05-20,,NS-09,M,1,0.005
1981-05-20,,NS-09,S,1,0.003
1981-06-10,,NS-09,B,1,0.002
1981-06-10,,NS-09,M,15.2,0.002
1981-06-10,,NS-09,S,1,0.002
1981-07-06,,NS-09,B,1,0.002
1981-07-06,,NS-09,M,1,0.002
1981-07-06,,NS-09,S,1,0.002
1981-07-29,,NS-09,B,1,0.004
1981-07-29,,NS-09,M,1,0.002
1981-07-29,,NS-09,S,1,0.002
1981-08-10,,NS-09,B,29,0.003
1981-08-10,,NS-09,M,1.8,0.003
1981-08-10,,NS-09,S,1,0.003
1981-10-05,,NS-09,B,1,0.014
1981-10-05,,NS-09,M,1,0.008
1981-10-05,,NS-09,S,1,0.007
1981-10-16,,NS-09,B,1,0.006
1981-10-16,,NS-09,M,1,0.006
1981-10-16,,NS-09,S,1,0.007
1981-11-03,,NS-09,B,24.4,0.003
1981-11-03,,NS-09,M,1,0.003
1981-11-03,,NS-09,S,1,0.003
1982-05-05,,NS-09,B,62,-9.999
1982-05-05,,NS-09,M,32,-9.999
1982-05-05,,NS-09,S,1,0.009
1982-06-09,,NS-09,B,62,0.059
1982-06-09,,NS-09,M,32,0.005
1982-06-09,,NS-09,S,1,0.003
1982-06-30,,NS-09,B,60,0.007
1982-06-30,,NS-09,M,31,0.005
1982-06-30,,NS-09,S,1,0.004
1983-08-02,,NS-09,B,31,0.008
1983-08-02,,NS-09,M,31,-9.999
1983-08-02,,NS-09,S,1,0.006
1983-09-07,,NS-09,B,60,0.014
1983-09-07,,NS-09,M,30,0.012
1983-09-07,,NS-09,S,1,0.019
1984-07-30,,NS-09,B,61,0.011
1984-07-30,,NS-09,M,31,0.012
1984-07-30,,NS-09,S,1,0.012
1984-10-29,,NS-09,B,59,0.012
1984-10-29,,NS-09,M,30,0.011
1984-10-29,,NS-09,S,1,0.008
1985-05-21,,NS-09,B,60,0.017
1985-05-21,,NS-09,M,30,0.024
1985-05-21,,NS-09,S,1,0.026
1985-07-09,,NS-09,B,60,-9.999
1985-07-09,,NS-09,M,31,0.004
1985-07-09,,NS-09,S,1,0.005
1985-08-06,,NS-09,B,61,-9.999
1985-08-06,,NS-09,M,31,0.014
1985-08-06,,NS-09,S,1,0.014
1985-08-27,,NS-09,B,60,0.008
1985-08-27,,NS-09,M,30,0.005
1985-08-27,,NS-09,S,1,0.014
1985-10-15,,NS-09,B,60,0.02
1985-10-15,,NS-09,M,30,0.007
1985-10-15,,NS-09,S,1,0.007
1986-05-12,,NS-09,B,60,0.126
1986-05-12,,NS-09,M,30,0.004
1986-05-12,,NS-09,S,1,0.007
1986-05-29,,NS-09,B,60,0.004
1986-05-29,,NS-09,M,31,0.005
1986-05-29,,NS-09,S,1,0.017
1986-06-18,,NS-09,B,60,0.037
1986-06-18,,NS-09,M,30,0.009
1986-06-18,,NS-09,S,1,0.009
1986-06-23,,NS-09,B,61,0.039
1986-06-23,,NS-09,M,30,0.025
1986-06-23,,NS-09,S,1,0.021
1986-07-22,,NS-09,B,60,0.009
1986-07-22,,NS-09,M,30,0.004
1986-07-22,,NS-09,S,1,0.004
1986-08-05,,NS-09,B,62,0.007
1986-08-05,,NS-09,M,31,0.005
1986-08-05,,NS-09,S,1,0.003
1986-08-12,,NS-09,B,-999.9,-9.999
1986-08-12,,NS-09,M,30,-9.999
1986-08-12,,NS-09,S,1,0.006
