
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1980-08-18,,NS-10,B,61,0.006
1980-08-18,,NS-10,M,30.5,0.009
1980-08-18,,NS-10,S,1,0.007
1980-09-03,,NS-10,B,61,0.006
1980-09-03,,NS-10,M,30.5,0.005
1980-09-03,,NS-10,S,1,0.005
1980-09-24,,NS-10,B,61,0.006
1980-09-24,,NS-10,M,30.5,0.006
1980-09-24,,NS-10,S,1,0.006
1980-09-30,,NS-10,B,61,0.006
1980-09-30,,NS-10,M,30.5,0.006
1980-09-30,,NS-10,S,1,0.008
1980-10-20,,NS-10,B,60.4,0.004
1980-10-20,,NS-10,M,30.5,0.006
1980-10-20,,NS-10,S,1,0.006
1980-10-27,,NS-10,B,60.4,0.005
1980-10-27,,NS-10,M,30.5,0.004
1980-10-27,,NS-10,S,1,0.005
1980-11-13,,NS-10,B,60.4,0.006
1980-11-13,,NS-10,M,30.5,0.011
1980-11-13,,NS-10,S,1,0.01
1981-04-29,,NS-10,M,1,0.002
1981-04-29,,NS-10,S,1,0.002
1981-05-20,,NS-10,B,24.4,0.003
1981-05-20,,NS-10,M,1,0.003
1981-05-20,,NS-10,S,1,0.003
1981-06-10,,NS-10,B,15.2,0.01
1981-06-10,,NS-10,M,22.9,0.003
1981-06-10,,NS-10,S,1,0.002
1981-07-06,,NS-10,B,1,0.002
1981-07-06,,NS-10,M,1,0.002
1981-07-06,,NS-10,S,1,0.002
1981-07-29,,NS-10,B,1,0.002
1981-07-29,,NS-10,M,1,0.002
1981-07-29,,NS-10,S,1,0.002
1981-08-10,,NS-10,B,29,0.007
1981-08-10,,NS-10,M,1,0.004
1981-08-10,,NS-10,S,1,0.003
1981-10-05,,NS-10,B,1,0.008
1981-10-05,,NS-10,M,1,0.01
1981-10-05,,NS-10,S,1,0.008
1981-10-16,,NS-10,B,1,0.006
1981-10-16,,NS-10,M,1,0.006
1981-10-16,,NS-10,S,1,0.006
1981-11-03,,NS-10,B,1,0.003
1981-11-03,,NS-10,M,1,0.003
1981-11-03,,NS-10,S,1,0.003
1982-05-05,,NS-10,B,70,-9.999
1982-05-05,,NS-10,M,43,-9.999
1982-05-05,,NS-10,S,1,-9.999
1982-06-09,,NS-10,B,85,0.006
1982-06-09,,NS-10,M,43,0.004
1982-06-09,,NS-10,S,1,0.004
1982-06-30,,NS-10,B,100,0.004
