
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1979-05-11,,SS-07,B,7,0.03
1979-05-11,,SS-07,M,4,0.04
1979-05-11,,SS-07,S,1,0.03
1979-05-15,,SS-07,B,4.9,0.01
1979-05-15,,SS-07,M,2.7,0.04
1979-05-15,,SS-07,S,1,0.02
1979-05-22,,SS-07,B,6.1,0.12
1979-05-22,,SS-07,M,3,0.14
1979-05-22,,SS-07,S,1,0.14
1979-05-29,,SS-07,B,4.9,0.01
1979-05-29,,SS-07,M,2.7,0.01
1979-05-29,,SS-07,S,1,0.01
1979-06-05,,SS-07,B,7,0.04
1979-06-05,,SS-07,M,4,0.01
1979-06-05,,SS-07,S,1,0.01
1979-06-13,,SS-07,B,4,0.04
1979-06-13,,SS-07,M,3,0.01
1979-06-13,,SS-07,S,1,0.01
1979-06-22,,SS-07,B,6.7,0.02
1979-06-22,,SS-07,M,3.4,0.03
1979-06-22,,SS-07,S,1,0.03
1979-06-27,,SS-07,B,1,0.01
1979-06-27,,SS-07,M,1,0.01
1979-06-27,,SS-07,S,1,0.01
1979-07-02,,SS-07,B,1,0.03
1979-07-02,,SS-07,M,1,0.01
1979-07-02,,SS-07,S,1,0.01
1979-07-10,,SS-07,B,7,0.01
1979-07-10,,SS-07,M,3.7,0.01
1979-07-10,,SS-07,S,1,0.01
1979-07-18,,SS-07,B,7.3,0.01
1979-07-18,,SS-07,M,4.3,0.01
1979-07-18,,SS-07,S,1,0.01
1979-07-24,,SS-07,B,7,0.01
1979-07-24,,SS-07,M,4,0.01
1979-07-24,,SS-07,S,1,0.01
1979-08-02,,SS-07,B,7,0.02
1979-08-02,,SS-07,M,4,0.01
1979-08-02,,SS-07,S,1,0.01
1979-08-14,,SS-07,B,7.9,0.02
1979-08-14,,SS-07,M,4.3,0.03
1979-08-14,,SS-07,S,1,0.03
1979-08-21,,SS-07,B,7.6,0.01
1979-08-21,,SS-07,M,4,0.01
1979-08-21,,SS-07,S,1,0.01
1979-08-28,,SS-07,B,7.6,0.03
1979-08-28,,SS-07,M,4.3,0.01
1979-08-28,,SS-07,S,1,0.01
1979-09-12,,SS-07,B,7.3,0.02
1979-09-12,,SS-07,M,3.7,0.01
1979-09-12,,SS-07,S,1,0.01
1979-09-18,,SS-07,B,7.9,0.03
1979-09-18,,SS-07,M,3.7,0.05
1979-09-18,,SS-07,S,1,0.05
1979-10-05,,SS-07,B,7.3,0.02
1979-10-05,,SS-07,M,4,0.01
1979-10-05,,SS-07,S,1,0.01
1979-10-09,,SS-07,B,7.3,0.03
1979-10-09,,SS-07,M,4,0.03
1979-10-09,,SS-07,S,1,0.02
1979-11-20,,SS-07,B,7.3,0.03
1979-11-20,,SS-07,M,4,0.02
1979-11-20,,SS-07,S,1,0.02
1979-11-27,,SS-07,B,7.3,0.04
1979-11-27,,SS-07,M,4,0.04
1979-11-27,,SS-07,S,1,0.04
1979-12-04,,SS-07,B,7.3,0.01
1979-12-04,,SS-07,M,4,0.01
1979-12-04,,SS-07,S,1,0.01
1979-12-13,,SS-07,B,7.3,0.06
1979-12-13,,SS-07,M,4,0.03
1979-12-13,,SS-07,S,1,0.04
1979-12-18,,SS-07,B,6.7,0.03
1979-12-18,,SS-07,M,3.7,0.03
1979-12-18,,SS-07,S,1,0.02
1980-04-22,,SS-07,B,7.3,0.03
1980-04-22,,SS-07,M,4,0.02
1980-04-22,,SS-07,S,1,0.03
1980-05-06,,SS-07,B,7.3,0.03
1980-05-06,,SS-07,M,4,0.03
1980-05-06,,SS-07,S,1,0.02
1980-05-14,,SS-07,B,6.7,0.024
1980-05-14,,SS-07,M,3.4,0.024
1980-05-14,,SS-07,S,1,0.02
1980-05-21,,SS-07,B,6.7,0.021
1980-05-21,,SS-07,M,3.7,0.021
1980-05-21,,SS-07,S,1,0.02
1980-06-03,,SS-07,B,7.3,0.058
1980-06-03,,SS-07,M,4,0.026
1980-06-03,,SS-07,S,1,0.01
1980-06-11,,SS-07,B,7.3,0.02
1980-06-11,,SS-07,M,4,0.045
1980-06-11,,SS-07,S,1,0.032
1980-06-17,,SS-07,B,6.7,0.012
1980-06-17,,SS-07,M,3.7,0.018
1980-06-17,,SS-07,S,1,0.018
1980-06-24,,SS-07,B,6.7,0.029
1980-06-24,,SS-07,M,3.7,0.064
1980-06-24,,SS-07,S,1,0.025
1980-07-01,,SS-07,B,6.7,0.01
1980-07-01,,SS-07,M,3.7,0.012
1980-07-01,,SS-07,S,1,0.013
1980-07-15,,SS-07,B,6.7,0.012
1980-07-15,,SS-07,M,3.7,0.011
1980-07-15,,SS-07,S,1,0.008
1980-07-22,,SS-07,B,6.7,0.026
1980-07-22,,SS-07,M,3.7,0.016
1980-07-22,,SS-07,S,1,0.011
1980-07-29,,SS-07,B,6.7,0.015
1980-07-29,,SS-07,M,3.7,0.013
1980-07-29,,SS-07,S,1,0.008
1980-08-26,,SS-07,B,6.7,0.016
1980-08-26,,SS-07,M,3.7,0.014
1980-08-26,,SS-07,S,1,0.012
1980-09-09,,SS-07,B,6.7,0.017
1980-09-09,,SS-07,M,3.7,0.055
1980-09-09,,SS-07,S,1,0.061
1980-09-23,,SS-07,B,6.7,0.084
1980-09-23,,SS-07,M,3.7,0.061
1980-09-23,,SS-07,S,1,0.059
1980-10-07,,SS-07,B,6.7,0.026
1980-10-07,,SS-07,M,3.7,0.027
1980-10-07,,SS-07,S,1,0.026
1980-11-04,,SS-07,B,6.1,0.122
1980-11-04,,SS-07,M,3.4,0.127
1980-11-04,,SS-07,S,1,0.122
1980-11-19,,SS-07,B,4.9,0.058
