
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1980-05-05,,OH-12,B,11.6,0.01
1980-05-05,,OH-12,M,6.1,0.02
1980-05-05,,OH-12,S,1,0.02
1980-05-12,,OH-12,B,11.6,0.015
1980-05-12,,OH-12,M,6.1,0.023
1980-05-12,,OH-12,S,1,0.015
1980-05-20,,OH-12,B,12.2,0.011
1980-05-20,,OH-12,M,6.4,0.013
1980-05-20,,OH-12,S,1,0.012
1980-05-27,,OH-12,B,11.6,0.015
1980-05-27,,OH-12,M,6.1,0.018
1980-05-27,,OH-12,S,1,0.016
1980-06-02,,OH-12,B,11,0.01
1980-06-02,,OH-12,M,5.8,0.012
1980-06-02,,OH-12,S,1,0.015
1980-06-10,,OH-12,B,12.8,0.011
1980-06-10,,OH-12,M,6.7,0.012
1980-06-10,,OH-12,S,1,0.014
1980-06-18,,OH-12,B,11.6,0.012
1980-06-18,,OH-12,M,6.1,0.012
1980-06-18,,OH-12,S,1,0.012
1980-06-23,,OH-12,B,13.1,0.008
1980-06-23,,OH-12,M,6.7,0.014
1980-06-23,,OH-12,S,1,0.013
1980-06-30,,OH-12,B,8.5,0.012
1980-06-30,,OH-12,M,4.6,0.013
1980-06-30,,OH-12,S,1,0.011
1980-07-14,,OH-12,B,10.1,0.012
1980-07-14,,OH-12,M,5.5,0.013
1980-07-14,,OH-12,S,1,0.009
1980-07-21,,OH-12,B,11.6,0.01
1980-07-21,,OH-12,M,6.1,0.011
1980-07-21,,OH-12,S,1,0.015
1980-07-28,,OH-12,B,11.6,0.011
1980-07-28,,OH-12,M,6.1,0.007
1980-07-28,,OH-12,S,1,0.007
1980-08-06,,OH-12,B,11.6,0.012
1980-08-06,,OH-12,M,6.1,0.014
1980-08-06,,OH-12,S,1,0.016
1980-08-25,,OH-12,B,11.6,0.012
1980-08-25,,OH-12,M,6.1,0.013
1980-08-25,,OH-12,S,1,0.018
1980-09-08,,OH-12,B,13.1,0.01
1980-09-08,,OH-12,M,6.7,0.013
1980-09-08,,OH-12,S,1,0.01
1980-10-06,,OH-12,B,8.5,0.009
1980-10-06,,OH-12,M,4.6,0.012
1980-10-06,,OH-12,S,1,0.011
1980-11-03,,OH-12,B,12.8,0.008
1980-11-03,,OH-12,M,6.7,0.008
1980-11-03,,OH-12,S,1,0.009
1980-11-17,,OH-12,B,13.1,0.006
1980-11-17,,OH-12,M,6.7,0.008
1980-11-17,,OH-12,S,1,0.006
1980-12-01,,OH-12,B,12.2,0.011
1980-12-01,,OH-12,M,6.4,0.002
1980-12-01,,OH-12,S,1,0.01
1981-03-31,,OH-12,B,8.5,0.011
1981-03-31,,OH-12,M,4.6,0.014
1981-03-31,,OH-12,S,0.9,0.008
1981-04-15,,OH-12,B,11.6,0.004
1981-04-15,,OH-12,M,6.1,0.004
1981-04-15,,OH-12,S,0.9,0.004
1981-04-27,,OH-12,B,12.8,0.01
1981-04-27,,OH-12,M,6.7,0.006
