
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1979-04-18,,OH-07,B,11.6,0.08
1979-04-18,,OH-07,M,6.1,0.05
1979-04-18,,OH-07,S,1,0.12
1979-04-25,,OH-07,B,11,0.07
1979-04-25,,OH-07,M,5.8,0.17
1979-04-25,,OH-07,S,1,0.2
1979-05-01,,OH-07,B,11,0.09
1979-05-01,,OH-07,M,5.5,0.1
1979-05-01,,OH-07,S,1,0.14
1979-05-10,,OH-07,B,11.6,0.04
1979-05-10,,OH-07,M,6.1,0.05
1979-05-10,,OH-07,S,1,0.08
1979-05-15,,OH-07,B,11.3,0.05
1979-05-15,,OH-07,M,5.8,0.06
1979-05-15,,OH-07,S,1,0.05
1979-05-22,,OH-07,B,11.6,0.04
1979-05-22,,OH-07,M,6.1,0.06
1979-05-22,,OH-07,S,1,0.08
1979-05-29,,OH-07,B,11,0.13
1979-05-29,,OH-07,M,5.8,0.07
1979-05-29,,OH-07,S,1,0.08
1979-06-05,,OH-07,B,11,0.06
1979-06-05,,OH-07,M,5.8,0.05
1979-06-05,,OH-07,S,1,0.05
1979-06-12,,OH-07,B,10.4,0.03
1979-06-12,,OH-07,M,5.5,0.04
1979-06-12,,OH-07,S,1,0.08
1979-06-21,,OH-07,B,11,0.03
1979-06-21,,OH-07,M,5.8,0.03
1979-06-21,,OH-07,S,1,0.07
1979-06-26,,OH-07,B,11,0.04
1979-06-26,,OH-07,M,5.8,0.09
1979-06-26,,OH-07,S,1,0.08
1979-07-02,,OH-07,B,11,0.02
1979-07-02,,OH-07,M,5.8,0.03
1979-07-02,,OH-07,S,1,0.07
1979-07-10,,OH-07,B,11,0.02
1979-07-10,,OH-07,M,5.8,0.04
1979-07-10,,OH-07,S,1,0.07
1979-07-18,,OH-07,B,11,0.09
1979-07-18,,OH-07,M,5.5,0.1
1979-07-18,,OH-07,S,1,0.04
1979-08-02,,OH-07,B,11.6,0.03
1979-08-02,,OH-07,M,6.1,0.02
1979-08-02,,OH-07,S,1,0.06
1979-08-07,,OH-07,B,11.6,0.06
1979-08-07,,OH-07,M,6.1,0.09
1979-08-07,,OH-07,S,1,0.09
1979-08-14,,OH-07,B,11,0.04
1979-08-14,,OH-07,M,5.5,0.05
1979-08-14,,OH-07,S,1,0.04
1979-08-21,,OH-07,B,11,-9.999
1979-08-21,,OH-07,M,5.8,0.05
1979-08-21,,OH-07,S,1,0.07
1979-08-28,,OH-07,B,11,0.05
1979-08-28,,OH-07,M,5.8,0.1
1979-08-28,,OH-07,S,1,0.12
1979-09-12,,OH-07,B,11.6,0.03
1979-09-12,,OH-07,M,6.1,0.03
1979-09-12,,OH-07,S,1,0.08
1979-09-18,,OH-07,B,11,0.08
1979-09-18,,OH-07,M,5.5,0.08
1979-09-18,,OH-07,S,1,0.09
1979-10-05,,OH-07,B,10.4,0.03
1979-10-05,,OH-07,M,5.5,0.03
1979-10-05,,OH-07,S,1,0.02
1979-10-09,,OH-07,B,10.4,0.03
1979-10-09,,OH-07,M,5.5,0.04
1979-10-09,,OH-07,S,1,0.07
1979-11-20,,OH-07,B,10.4,0.01
1979-11-20,,OH-07,M,5.5,0.02
1979-11-20,,OH-07,S,1,0.01
1979-11-27,,OH-07,B,10.4,0.04
1979-11-27,,OH-07,M,5.5,0.04
1979-11-27,,OH-07,S,1,0.06
1979-12-04,,OH-07,B,10.4,-9.999
1979-12-04,,OH-07,M,5.5,-9.999
1979-12-04,,OH-07,S,1,-9.999
1979-12-11,,OH-07,B,10.4,-9.999
1979-12-11,,OH-07,M,5.5,-9.999
1979-12-11,,OH-07,S,1,-9.999
1979-12-18,,OH-07,B,10.4,-9.999
1979-12-18,,OH-07,M,5.5,-9.999
1979-12-18,,OH-07,S,1,-9.999
1980-01-16,,OH-07,B,10.7,0.06
1980-01-16,,OH-07,M,5.8,0.06
1980-01-16,,OH-07,S,1,0.07
1980-01-22,,OH-07,B,11,0.42
1980-01-22,,OH-07,M,6.1,0.04
1980-01-22,,OH-07,S,1,0.04
1980-01-30,,OH-07,B,11.3,-9.999
1980-01-30,,OH-07,M,6.1,-9.999
1980-01-30,,OH-07,S,1,-9.999
1980-04-01,,OH-07,B,10.4,0.04
1980-04-01,,OH-07,M,5.5,0.03
1980-04-01,,OH-07,S,1,0.01
1980-04-10,,OH-07,B,11,0.17
1980-04-10,,OH-07,M,5.8,0.19
1980-04-10,,OH-07,S,1,0.19
1980-04-16,,OH-07,B,11,0.13
1980-04-16,,OH-07,M,5.8,0.08
1980-04-16,,OH-07,S,1,0.07
1980-04-23,,OH-07,B,11.6,0.06
1980-04-23,,OH-07,M,6.1,0.06
1980-04-23,,OH-07,S,1,0.06
1980-04-30,,OH-07,B,10.4,0.04
1980-04-30,,OH-07,M,5.2,0.03
1980-04-30,,OH-07,S,1,0.02
1980-05-05,,OH-07,B,9.8,0.03
1980-05-05,,OH-07,M,4.9,0.02
1980-05-05,,OH-07,S,1,0.09
1980-05-12,,OH-07,B,10.4,0.022
1980-05-12,,OH-07,M,5.5,0.02
1980-05-12,,OH-07,S,1,0.024
1980-05-20,,OH-07,B,11.6,0.016
1980-05-20,,OH-07,M,6.1,0.028
1980-05-20,,OH-07,S,1,0.044
1980-05-27,,OH-07,B,11,0.046
1980-05-27,,OH-07,M,5.8,0.025
1980-05-27,,OH-07,S,1,0.052
1980-06-02,,OH-07,B,11,0.029
1980-06-02,,OH-07,M,5.8,0.033
1980-06-02,,OH-07,S,1,0.046
1980-06-10,,OH-07,B,10.4,0.048
1980-06-10,,OH-07,M,5.5,0.081
1980-06-10,,OH-07,S,1,0.094
1980-06-18,,OH-07,B,9.8,0.02
1980-06-18,,OH-07,M,5.2,0.024
1980-06-18,,OH-07,S,1,0.04
1980-06-23,,OH-07,B,9.8,0.011
1980-06-23,,OH-07,M,5.2,0.02
1980-06-23,,OH-07,S,1,0.049
1980-06-30,,OH-07,B,10.4,0.02
1980-06-30,,OH-07,M,5.5,0.043
1980-06-30,,OH-07,S,1,0.044
1980-07-14,,OH-07,B,9.8,0.016
1980-07-14,,OH-07,M,5.2,0.048
1980-07-14,,OH-07,S,1,0.038
1980-07-21,,OH-07,B,10.4,0.012
1980-07-21,,OH-07,M,5.5,0.014
1980-07-21,,OH-07,S,1,0.014
1980-07-28,,OH-07,B,10.4,0.039
1980-07-28,,OH-07,M,5.5,0.028
1980-07-28,,OH-07,S,1,0.027
1980-08-06,,OH-07,B,10.4,0.014
1980-08-06,,OH-07,M,5.5,0.03
1980-08-06,,OH-07,S,1,0.049
1980-08-12,,OH-07,B,10.4,0.042
1980-08-12,,OH-07,M,5.5,0.035
1980-08-12,,OH-07,S,1,0.038
1980-08-18,,OH-07,B,8.5,0.018
1980-08-18,,OH-07,M,4.6,0.017
1980-08-18,,OH-07,S,1,0.098
1980-08-25,,OH-07,B,10.4,0.016
1980-08-25,,OH-07,M,5.5,0.061
1980-08-25,,OH-07,S,1,0.068
1980-09-03,,OH-07,B,10.4,0.012
1980-09-03,,OH-07,M,5.5,0.014
1980-09-03,,OH-07,S,1,0.012
1980-09-08,,OH-07,B,9.8,0.011
1980-09-08,,OH-07,M,5.2,0.03
1980-09-08,,OH-07,S,1,0.042
1980-09-22,,OH-07,B,10.4,0.036
1980-09-22,,OH-07,M,5.5,0.082
1980-09-22,,OH-07,S,1,0.037
1980-09-24,,OH-07,B,9.8,0.088
1980-09-24,,OH-07,M,5.2,0.136
1980-09-24,,OH-07,S,1,0.133
1980-09-30,,OH-07,B,10.4,0.02
1980-09-30,,OH-07,M,5.5,0.042
1980-09-30,,OH-07,S,1,0.09
1980-10-06,,OH-07,B,10.4,0.036
1980-10-06,,OH-07,M,5.5,0.043
1980-10-06,,OH-07,S,1,0.038
1980-10-20,,OH-07,B,10.4,0.018
1980-10-20,,OH-07,M,5.5,0.018
1980-10-20,,OH-07,S,1,0.017
1980-10-27,,OH-07,B,10.4,0.05
1980-10-27,,OH-07,M,5.5,0.038
