
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1979-04-18,,OH-11,B,9.1,0.08
1979-04-18,,OH-11,M,4.6,0.07
1979-04-18,,OH-11,S,1,0.08
1979-04-25,,OH-11,B,9.8,0.06
1979-04-25,,OH-11,M,5.2,0.06
1979-04-25,,OH-11,S,1,0.08
1979-05-01,,OH-11,B,9.4,0.09
1979-05-01,,OH-11,M,4.9,0.09
1979-05-01,,OH-11,S,1,0.08
1979-05-10,,OH-11,B,10.7,0.08
1979-05-10,,OH-11,M,5.5,0.08
1979-05-10,,OH-11,S,1,0.1
1979-05-15,,OH-11,B,10.4,0.06
1979-05-15,,OH-11,M,5.5,0.07
1979-05-15,,OH-11,S,1,0.07
1979-05-22,,OH-11,B,11,0.06
1979-05-22,,OH-11,M,5.8,0.07
1979-05-22,,OH-11,S,1,0.08
1979-05-29,,OH-11,B,10.7,0.16
1979-05-29,,OH-11,M,5.5,0.12
1979-05-29,,OH-11,S,1,0.09
1979-06-05,,OH-11,B,10.7,0.07
1979-06-05,,OH-11,M,5.5,0.11
1979-06-05,,OH-11,S,1,0.11
1979-06-12,,OH-11,B,10.4,0.05
1979-06-12,,OH-11,M,5.2,0.08
1979-06-12,,OH-11,S,1,0.1
1979-06-21,,OH-11,B,10.1,0.04
1979-06-21,,OH-11,M,5.5,0.04
1979-06-21,,OH-11,S,1,0.05
1979-06-26,,OH-11,B,10.1,0.04
1979-06-26,,OH-11,M,5.5,0.05
1979-06-26,,OH-11,S,1,0.06
1979-07-02,,OH-11,B,10.1,0.12
1979-07-02,,OH-11,M,5.5,0.06
1979-07-02,,OH-11,S,1,0.08
1979-07-10,,OH-11,B,9.1,-9.999
1979-07-10,,OH-11,M,4.9,0.04
1979-07-10,,OH-11,S,1,0.06
1979-07-18,,OH-11,B,11,0.14
1979-07-18,,OH-11,M,5.5,0.02
1979-07-18,,OH-11,S,1,0.08
1979-07-24,,OH-11,B,10.1,0.04
1979-07-24,,OH-11,M,5.2,0.05
1979-07-24,,OH-11,S,1,0.07
1979-08-02,,OH-11,B,9.8,0.03
1979-08-02,,OH-11,M,5.2,0.05
1979-08-02,,OH-11,S,1,0.02
1979-08-07,,OH-11,B,10.1,0.19
1979-08-07,,OH-11,M,5.2,-9.999
1979-08-07,,OH-11,S,1,0.03
1979-08-14,,OH-11,B,9.1,0.04
1979-08-14,,OH-11,M,4.9,0.08
1979-08-14,,OH-11,S,1,0.07
1979-08-21,,OH-11,B,9.8,0.05
1979-08-21,,OH-11,M,5.2,0.08
1979-08-21,,OH-11,S,1,0.08
1979-08-28,,OH-11,B,10.1,0.31
1979-08-28,,OH-11,M,5.5,0.05
1979-08-28,,OH-11,S,1,0.1
1979-09-12,,OH-11,B,9.8,0.04
1979-09-12,,OH-11,M,5.2,0.04
1979-09-12,,OH-11,S,1,0.05
1979-09-18,,OH-11,B,9.8,0.03
1979-09-18,,OH-11,M,5.2,0.08
1979-09-18,,OH-11,S,1,0.05
1979-10-05,,OH-11,B,9.1,0.03
1979-10-05,,OH-11,M,4.9,0.03
1979-10-05,,OH-11,S,1,0.09
1979-10-09,,OH-11,B,9.8,0.08
1979-10-09,,OH-11,M,5.2,0.05
1979-10-09,,OH-11,S,1,0.05
1979-11-20,,OH-11,B,9.1,0.03
1979-11-20,,OH-11,M,4.9,0.03
1979-11-20,,OH-11,S,1,0.02
1979-11-27,,OH-11,B,9.1,0.08
1979-11-27,,OH-11,M,4.9,0.16
1979-11-27,,OH-11,S,1,0.06
1979-12-04,,OH-11,B,9.1,-9.999
1979-12-04,,OH-11,M,4.9,-9.999
1979-12-04,,OH-11,S,1,-9.999
1979-12-11,,OH-11,B,9.1,-9.999
1979-12-11,,OH-11,M,4.9,-9.999
1979-12-11,,OH-11,S,1,-9.999
1979-12-18,,OH-11,B,9.1,-9.999
1979-12-18,,OH-11,M,4.9,-9.999
1979-12-18,,OH-11,S,1,-9.999
1980-01-16,,OH-11,B,9.4,0.09
1980-01-16,,OH-11,M,5.2,0.03
1980-01-16,,OH-11,S,1,0.04
1980-01-22,,OH-11,B,9.1,0.26
1980-01-22,,OH-11,M,5.2,0.5
1980-01-22,,OH-11,S,1,0.03
1980-04-01,,OH-11,B,9.1,0.04
1980-04-01,,OH-11,M,4.6,0.03
1980-04-01,,OH-11,S,1,0.03
1980-04-10,,OH-11,B,9.8,0.11
1980-04-10,,OH-11,M,5.2,0.1
1980-04-10,,OH-11,S,1,0.09
1980-04-16,,OH-11,B,9.1,0.11
1980-04-16,,OH-11,M,4.6,0.07
1980-04-16,,OH-11,S,1,0.05
1980-04-23,,OH-11,B,9.1,0.09
1980-04-23,,OH-11,M,4.6,0.07
1980-04-23,,OH-11,S,1,0.07
1980-04-30,,OH-11,B,9.1,0.07
1980-04-30,,OH-11,M,4.9,0.07
1980-04-30,,OH-11,S,1,0.06
