
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1980-05-05,,OH-13,B,17.7,0.02
1980-05-05,,OH-13,M,9.1,0.01
1980-05-05,,OH-13,S,1,0.03
1980-05-12,,OH-13,B,13.7,0.017
1980-05-12,,OH-13,M,7,0.021
1980-05-12,,OH-13,S,1,0.02
1980-05-20,,OH-13,B,14.6,0.011
1980-05-20,,OH-13,M,7.6,0.012
1980-05-20,,OH-13,S,1,0.011
1980-05-27,,OH-13,B,14.6,0.016
1980-05-27,,OH-13,M,9.1,0.016
1980-05-27,,OH-13,S,1,0.019
1980-06-02,,OH-13,B,14.6,0.01
1980-06-02,,OH-13,M,7.6,0.012
1980-06-02,,OH-13,S,1,0.02
1980-06-10,,OH-13,B,16.8,0.047
1980-06-10,,OH-13,M,8.2,0.016
1980-06-10,,OH-13,S,1,0.014
1980-06-18,,OH-13,B,14.6,0.01
1980-06-18,,OH-13,M,7.6,0.01
1980-06-18,,OH-13,S,1,0.008
1980-06-23,,OH-13,B,16.8,0.009
1980-06-23,,OH-13,M,8.2,0.011
1980-06-23,,OH-13,S,1,0.014
1980-06-30,,OH-13,B,14.6,0.014
1980-06-30,,OH-13,M,7.6,0.028
1980-06-30,,OH-13,S,1,0.009
1980-07-14,,OH-13,B,13.4,0.012
1980-07-14,,OH-13,M,7,0.012
1980-07-14,,OH-13,S,1,0.01
1980-07-21,,OH-13,B,13.4,0.009
1980-07-21,,OH-13,M,7,0.012
1980-07-21,,OH-13,S,1,0.011
1980-07-28,,OH-13,B,14.6,0.014
1980-07-28,,OH-13,M,7.6,0.009
1980-07-28,,OH-13,S,1,0.004
1980-08-06,,OH-13,B,14.6,0.012
1980-08-06,,OH-13,M,7.6,0.027
1980-08-06,,OH-13,S,1,0.012
1980-08-25,,OH-13,B,13.4,0.01
1980-08-25,,OH-13,M,7,0.01
1980-08-25,,OH-13,S,1,0.015
1980-09-08,,OH-13,B,13.4,0.01
1980-09-08,,OH-13,M,7,0.01
1980-09-08,,OH-13,S,1,0.015
1980-10-06,,OH-13,B,13.4,0.01
1980-10-06,,OH-13,M,7,0.019
1980-10-06,,OH-13,S,1,0.012
