
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1979-05-11,,SS-04,B,7,0.03
1979-05-11,,SS-04,M,4,0.04
1979-05-11,,SS-04,S,1,0.06
1979-05-15,,SS-04,B,5.8,0.04
1979-05-15,,SS-04,M,2.7,0.03
1979-05-15,,SS-04,S,1,0.02
1979-05-22,,SS-04,B,7,0.14
1979-05-22,,SS-04,M,4,0.14
1979-05-22,,SS-04,S,1,0.14
1979-05-29,,SS-04,B,7,0.03
1979-05-29,,SS-04,M,4,0.01
1979-05-29,,SS-04,S,1,0.01
1979-06-05,,SS-04,B,7.9,0.02
1979-06-05,,SS-04,M,4,0.01
1979-06-05,,SS-04,S,1,0.01
1979-06-13,,SS-04,B,6.4,0.01
1979-06-13,,SS-04,M,3.7,0.01
1979-06-13,,SS-04,S,1,0.01
1979-06-22,,SS-04,B,7.3,0.04
1979-06-22,,SS-04,M,3.7,0.01
1979-06-22,,SS-04,S,1,0.02
1979-06-27,,SS-04,B,1,0.01
1979-06-27,,SS-04,M,1,0.01
1979-06-27,,SS-04,S,1,0.01
1979-07-02,,SS-04,B,1,0.02
1979-07-02,,SS-04,M,1,0.01
1979-07-02,,SS-04,S,1,0.01
1979-07-10,,SS-04,B,7,0.01
1979-07-10,,SS-04,M,3.7,0.04
1979-07-10,,SS-04,S,1,0.01
1979-07-18,,SS-04,B,7.3,0.02
1979-07-18,,SS-04,M,3.7,0.01
1979-07-18,,SS-04,S,1,0.01
1979-07-24,,SS-04,B,7.3,0.01
1979-07-24,,SS-04,M,4,0.01
1979-07-24,,SS-04,S,1,0.02
1979-08-02,,SS-04,B,7.6,0.02
1979-08-02,,SS-04,M,4.3,0.01
1979-08-02,,SS-04,S,1,0.01
1979-08-14,,SS-04,B,7.9,0.05
1979-08-14,,SS-04,M,4.3,0.02
1979-08-14,,SS-04,S,1,0.04
1979-08-21,,SS-04,B,7.9,0.03
1979-08-21,,SS-04,M,4.3,0.01
1979-08-21,,SS-04,S,1,0.01
1979-08-28,,SS-04,B,7.9,0.05
1979-08-28,,SS-04,S,1,0.01
1979-09-12,,SS-04,B,7.9,0.02
1979-09-12,,SS-04,M,4.3,0.02
1979-09-12,,SS-04,S,1,0.04
1979-09-18,,SS-04,B,7.9,0.04
1979-09-18,,SS-04,M,4.3,0.04
1979-09-18,,SS-04,S,1,0.04
1979-10-05,,SS-04,B,7.6,0.04
1979-10-05,,SS-04,M,4.3,0.01
1979-10-05,,SS-04,S,1,0.01
1979-10-09,,SS-04,B,8.5,0.01
1979-10-09,,SS-04,M,4.6,0.01
1979-10-09,,SS-04,S,1,0.01
1979-11-20,,SS-04,B,7.3,0.01
1979-11-20,,SS-04,M,4,0.01
1979-11-20,,SS-04,S,1,0.01
1979-11-27,,SS-04,B,7.3,0.05
1979-11-27,,SS-04,M,4,0.06
1979-11-27,,SS-04,S,1,0.04
1979-12-04,,SS-04,B,7.3,0.02
1979-12-04,,SS-04,M,4,0.02
1979-12-04,,SS-04,S,1,0.01
1979-12-13,,SS-04,B,7.3,0.04
1979-12-13,,SS-04,M,4,0.04
1979-12-13,,SS-04,S,1,0.03
1979-12-18,,SS-04,B,7.3,0.03
1979-12-18,,SS-04,M,4,0.02
1979-12-18,,SS-04,S,1,0.02
1980-04-22,,SS-04,B,7.3,0.03
1980-04-22,,SS-04,M,4,0.04
1980-04-22,,SS-04,S,1,0.04
1980-05-06,,SS-04,B,7.3,0.02
1980-05-06,,SS-04,M,4,0.02
1980-05-06,,SS-04,S,1,0.02
1980-05-14,,SS-04,B,7.9,0.027
1980-05-14,,SS-04,M,4.3,0.013
