
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1979-04-18,,OH-10,B,5.5,0.09
1979-04-18,,OH-10,M,3,0.1
1979-04-18,,OH-10,S,1,0.11
1979-04-25,,OH-10,B,6.7,0.1
1979-04-25,,OH-10,M,3.7,0.03
1979-04-25,,OH-10,S,1,0.06
1979-05-01,,OH-10,B,6.1,0.08
1979-05-01,,OH-10,M,3,0.06
1979-05-01,,OH-10,S,1,0.06
1979-05-10,,OH-10,B,6.1,0.07
1979-05-10,,OH-10,M,3.4,0.07
1979-05-10,,OH-10,S,1,0.08
1979-05-15,,OH-10,B,5.5,0.06
1979-05-15,,OH-10,M,3,0.05
1979-05-15,,OH-10,S,1,0.04
1979-05-22,,OH-10,B,6.7,0.12
1979-05-22,,OH-10,M,3.7,0.07
1979-05-22,,OH-10,S,1,0.08
1979-05-29,,OH-10,B,5.8,0.19
1979-05-29,,OH-10,M,3,0.06
1979-05-29,,OH-10,S,1,0.06
1979-06-05,,OH-10,B,5.8,0.06
1979-06-05,,OH-10,M,3,0.05
1979-06-05,,OH-10,S,1,0.06
1979-06-12,,OH-10,B,6.7,0.08
1979-06-12,,OH-10,M,3.7,0.07
1979-06-12,,OH-10,S,1,0.09
1979-06-21,,OH-10,B,5.8,0.05
1979-06-21,,OH-10,M,3,0.05
1979-06-21,,OH-10,S,1,0.05
1979-06-26,,OH-10,B,5.8,0.07
1979-06-26,,OH-10,M,3,0.06
1979-06-26,,OH-10,S,1,0.05
1979-07-02,,OH-10,B,6.1,0.05
1979-07-02,,OH-10,M,3.4,0.06
1979-07-02,,OH-10,S,1,0.05
1979-07-10,,OH-10,B,6.1,0.08
1979-07-10,,OH-10,M,3.4,0.06
1979-07-10,,OH-10,S,1,0.06
1979-07-18,,OH-10,B,6.7,0.05
1979-07-18,,OH-10,M,3.4,0.17
1979-07-18,,OH-10,S,1,0.03
1979-07-24,,OH-10,B,6.1,0.06
1979-07-24,,OH-10,M,3.7,0.03
1979-07-24,,OH-10,S,1,0.05
1979-08-02,,OH-10,B,6.1,0.04
1979-08-02,,OH-10,M,3.4,0.03
1979-08-02,,OH-10,S,1,0.08
1979-08-07,,OH-10,B,5.5,0.04
1979-08-07,,OH-10,M,3,0.06
1979-08-07,,OH-10,S,1,0.06
1979-08-14,,OH-10,B,7,0.06
1979-08-14,,OH-10,M,3.7,0.06
1979-08-14,,OH-10,S,1,0.05
1979-08-21,,OH-10,B,6.4,0.06
1979-08-21,,OH-10,M,3.7,0.08
1979-08-21,,OH-10,S,1,0.05
1979-08-28,,OH-10,B,6.1,0.07
1979-08-28,,OH-10,M,3,0.08
1979-08-28,,OH-10,S,1,0.08
1979-09-12,,OH-10,B,6.7,0.03
1979-09-12,,OH-10,M,3.7,0.04
1979-09-12,,OH-10,S,1,0.03
1979-09-18,,OH-10,B,6.1,0.03
1979-09-18,,OH-10,M,3.7,0.02
1979-09-18,,OH-10,S,1,0.04
1979-10-05,,OH-10,B,6.1,0.02
1979-10-05,,OH-10,M,5.5,0.02
1979-10-05,,OH-10,S,1,0.02
1979-10-09,,OH-10,B,6.1,0.08
1979-10-09,,OH-10,M,3.4,0.05
1979-10-09,,OH-10,S,1,0.03
1979-11-20,,OH-10,B,5.5,0.39
1979-11-20,,OH-10,M,3.4,0.01
1979-11-20,,OH-10,S,1,0.03
1979-11-27,,OH-10,B,5.5,0.05
1979-11-27,,OH-10,M,3,0.04
1979-11-27,,OH-10,S,1,0.06
1979-12-04,,OH-10,B,5.5,-9.999
1979-12-04,,OH-10,M,3,-9.999
1979-12-04,,OH-10,S,1,-9.999
1979-12-11,,OH-10,B,5.5,-9.999
1979-12-11,,OH-10,M,3,-9.999
1979-12-11,,OH-10,S,1,-9.999
1979-12-18,,OH-10,B,5.5,-9.999
1979-12-18,,OH-10,M,3,-9.999
1979-12-18,,OH-10,S,1,-9.999
1980-01-16,,OH-10,B,5.8,0.07
1980-01-16,,OH-10,M,3.4,0.05
1980-01-16,,OH-10,S,1,0.07
1980-01-22,,OH-10,B,5.8,0.05
1980-01-22,,OH-10,M,3,0.04
1980-01-22,,OH-10,S,1,0.57
1980-04-01,,OH-10,B,5.5,0.03
1980-04-01,,OH-10,M,2.7,0.02
1980-04-01,,OH-10,S,1,0.02
1980-04-10,,OH-10,B,4.9,0.09
1980-04-10,,OH-10,M,2.4,0.09
1980-04-10,,OH-10,S,1,0.11
1980-04-16,,OH-10,B,6.7,0.05
1980-04-16,,OH-10,M,3.7,0.05
1980-04-16,,OH-10,S,1,0.06
1980-04-23,,OH-10,B,5.5,0.05
1980-04-23,,OH-10,M,3,0.04
1980-04-23,,OH-10,S,1,0.05
1980-04-30,,OH-10,B,6.1,0.04
1980-04-30,,OH-10,M,3.4,0.04
1980-04-30,,OH-10,S,1,0.04
1980-05-05,,OH-10,B,5.5,0.06
1980-05-05,,OH-10,M,3,0.06
1980-05-05,,OH-10,S,1,0.07
1980-05-12,,OH-10,B,6.1,0.045
1980-05-12,,OH-10,M,3.4,0.045
1980-05-12,,OH-10,S,1,0.035
1980-05-20,,OH-10,B,5.5,0.052
1980-05-20,,OH-10,M,3,0.06
1980-05-20,,OH-10,S,1,0.06
1980-05-27,,OH-10,B,5.5,0.066
1980-05-27,,OH-10,M,3,0.053
1980-05-27,,OH-10,S,1,0.057
1980-06-02,,OH-10,B,5.5,0.09
1980-06-02,,OH-10,M,3,0.037
1980-06-02,,OH-10,S,1,0.035
1980-06-10,,OH-10,B,6.7,0.045
1980-06-10,,OH-10,M,3.7,0.062
1980-06-10,,OH-10,S,1,0.066
1980-06-18,,OH-10,B,6.7,0.036
1980-06-18,,OH-10,M,3.7,0.032
1980-06-18,,OH-10,S,1,0.037
1980-06-23,,OH-10,B,5.5,0.028
1980-06-23,,OH-10,M,3,0.034
1980-06-23,,OH-10,S,1,0.029
1980-06-30,,OH-10,B,6.1,0.028
1980-06-30,,OH-10,M,3.4,0.028
1980-06-30,,OH-10,S,1,0.032
1980-07-14,,OH-10,B,6.1,0.022
1980-07-14,,OH-10,M,3.4,0.036
1980-07-14,,OH-10,S,1,0.028
1980-07-21,,OH-10,B,5.5,0.023
1980-07-21,,OH-10,M,3,0.025
1980-07-21,,OH-10,S,1,0.022
1980-07-28,,OH-10,B,5.5,0.023
1980-07-28,,OH-10,M,3,0.022
1980-07-28,,OH-10,S,1,0.023
1980-08-06,,OH-10,B,5.5,0.027
1980-08-06,,OH-10,M,3,0.03
1980-08-06,,OH-10,S,1,0.032
1980-08-12,,OH-10,B,5.5,0.051
1980-08-12,,OH-10,M,3,0.048
1980-08-12,,OH-10,S,1,0.047
1980-08-25,,OH-10,B,5.5,0.029
1980-08-25,,OH-10,M,3,0.04
1980-08-25,,OH-10,S,1,0.039
1980-09-08,,OH-10,B,5.5,0.032
1980-09-08,,OH-10,M,3,0.028
1980-09-08,,OH-10,S,1,0.034
1980-09-22,,OH-10,B,5.5,0.024
1980-09-22,,OH-10,M,3,0.03
1980-09-22,,OH-10,S,1,0.03
1980-10-06,,OH-10,B,5.5,0.037
1980-10-06,,OH-10,M,3,0.036
1980-10-06,,OH-10,S,1,0.014
1980-11-03,,OH-10,B,5.5,0.015
1980-11-03,,OH-10,M,3,0.014
1980-11-03,,OH-10,S,1,0.02
1980-11-17,,OH-10,B,5.5,0.028
1980-11-17,,OH-10,M,3,0.027
1980-11-17,,OH-10,S,1,0.026
1980-12-01,,OH-10,B,5.5,0.04
1980-12-01,,OH-10,M,3,0.096
1980-12-01,,OH-10,S,1,0.03
1981-03-31,,OH-10,B,5.5,0.03
1981-03-31,,OH-10,M,3,0.029
1981-03-31,,OH-10,S,0.9,0.032
1981-04-15,,OH-10,B,5.5,0.031
1981-04-15,,OH-10,M,3,0.033
1981-04-15,,OH-10,S,0.9,0.037
1981-04-27,,OH-10,B,5.5,0.039
1981-04-27,,OH-10,M,3,0.043
1981-04-27,,OH-10,S,0.9,0.037
1981-05-04,,OH-10,B,5.2,0.02
1981-05-04,,OH-10,M,2.7,0.017
1981-05-04,,OH-10,S,0.9,0.015
1981-05-12,,OH-10,B,5.5,0.058
1981-05-12,,OH-10,M,3,0.058
1981-05-12,,OH-10,S,0.9,0.065
1981-05-26,,OH-10,B,5.5,0.02
1981-05-26,,OH-10,M,3,0.019
1981-05-26,,OH-10,S,0.9,0.018
1981-06-01,,OH-10,B,5.5,0.015
1981-06-01,,OH-10,M,3,0.018
1981-06-01,,OH-10,S,0.9,0.024
1981-06-15,,OH-10,B,5.5,0.023
1981-06-15,,OH-10,M,3,0.021
1981-06-15,,OH-10,S,0.9,0.019
1981-06-22,,OH-10,B,8.5,0.034
1981-06-22,,OH-10,M,4.6,0.03
1981-06-22,,OH-10,S,0.9,0.03
1981-07-07,,OH-10,B,5.5,0.02
1981-07-07,,OH-10,M,3,0.029
1981-07-07,,OH-10,S,0.9,0.032
1981-07-14,,OH-10,B,5.5,0.051
1981-07-14,,OH-10,M,3,0.045
1981-07-14,,OH-10,S,0.9,0.066
1981-07-30,,OH-10,B,5.5,0.025
1981-07-30,,OH-10,M,3,0.022
1981-07-30,,OH-10,S,0.9,0.02
1981-08-03,,OH-10,B,5.5,0.046
1981-08-03,,OH-10,M,3,0.033
1981-08-03,,OH-10,S,0.9,0.045
1981-08-13,,OH-10,B,5.5,0.035
1981-08-13,,OH-10,M,3,0.031
1981-08-13,,OH-10,S,0.9,0.033
1981-08-24,,OH-10,B,5.5,0.04
1981-08-24,,OH-10,M,3,0.016
1981-08-24,,OH-10,S,0.9,0.025
1981-09-08,,OH-10,B,6,0.078
1981-09-08,,OH-10,M,3,0.082
1981-09-08,,OH-10,S,1,0.077
1981-09-15,,OH-10,B,5.5,0.063
1981-09-15,,OH-10,M,3,0.062
1981-09-15,,OH-10,S,0.9,0.066
1981-09-28,,OH-10,B,5.5,0.07
1981-09-28,,OH-10,M,3,0.053
1981-09-28,,OH-10,S,0.9,0.056
1981-10-06,,OH-10,B,8.5,0.067
1981-10-06,,OH-10,M,4.6,0.061
1981-10-06,,OH-10,S,0.9,0.059
1981-10-19,,OH-10,B,5.5,0.043
1981-10-19,,OH-10,M,3,0.035
1981-10-19,,OH-10,S,0.9,0.044
1981-10-27,,OH-10,B,5.5,0.04
1981-10-27,,OH-10,M,3,0.021
1981-10-27,,OH-10,S,0.9,0.021
1981-11-13,,OH-10,B,5.5,0.054
1981-11-13,,OH-10,M,3,0.025
1981-11-13,,OH-10,S,0.9,0.016
1981-11-16,,OH-10,B,4.9,0.058
1981-11-16,,OH-10,M,2.4,0.018
1981-11-16,,OH-10,S,0.9,0.013
1981-12-07,,OH-10,B,4.6,0.074
1981-12-07,,OH-10,M,2.7,0.07
1981-12-07,,OH-10,S,0.9,0.075
1981-12-16,,OH-10,B,4.3,0.039
1981-12-16,,OH-10,M,2.4,0.037
1981-12-16,,OH-10,S,0.9,0.036
1982-03-30,,OH-10,B,5.5,0.022
1982-03-30,,OH-10,M,3,0.028
1982-03-30,,OH-10,S,0.9,0.037
1982-04-13,,OH-10,B,4.9,0.076
1982-04-13,,OH-10,M,2.7,0.077
1982-04-13,,OH-10,S,0.9,0.078
1982-04-27,,OH-10,B,5,0.052
1982-04-27,,OH-10,M,3,0.052
1982-04-27,,OH-10,S,1,0.055
1982-05-03,,OH-10,B,5,0.04
1982-05-03,,OH-10,M,3,0.035
1982-05-03,,OH-10,S,1,0.034
1982-05-11,,OH-10,B,5,0.033
1982-05-11,,OH-10,M,3,0.016
1982-05-11,,OH-10,S,1,0.018
1982-05-18,,OH-10,B,5,0.035
1982-05-18,,OH-10,M,3,0.046
1982-05-18,,OH-10,S,1,0.055
1982-05-24,,OH-10,B,6,0.057
1982-05-24,,OH-10,M,3,0.07
1982-05-24,,OH-10,S,1,0.067
1982-06-02,,OH-10,B,5,0.056
1982-06-02,,OH-10,M,3,0.054
1982-06-02,,OH-10,S,1,0.054
1982-06-07,,OH-10,B,5,0.049
1982-06-07,,OH-10,M,3,0.05
1982-06-07,,OH-10,S,1,0.047
1982-06-14,,OH-10,B,5,0.031
1982-06-14,,OH-10,M,3,0.041
1982-06-14,,OH-10,S,1,0.042
