
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1980-08-18,,NS-04,B,5.5,0.019
1980-08-18,,NS-04,M,3,0.021
1980-08-18,,NS-04,S,1,0.02
1980-09-03,,NS-04,B,5.5,0.006
1980-09-03,,NS-04,M,3,0.008
1980-09-03,,NS-04,S,1,0.008
1980-09-24,,NS-04,B,4.9,0.02
1980-09-24,,NS-04,M,2.7,0.022
1980-09-24,,NS-04,S,1,0.02
1980-09-30,,NS-04,B,5.5,0.017
1980-09-30,,NS-04,M,3,0.028
1980-09-30,,NS-04,S,1,0.015
1980-10-20,,NS-04,B,3,0.018
1980-10-20,,NS-04,M,1.8,0.013
1980-10-20,,NS-04,S,1,0.01
1980-10-27,,NS-04,B,3.7,0.029
1980-10-27,,NS-04,M,2.1,0.019
1980-10-27,,NS-04,S,1,0.018
1980-11-13,,NS-04,B,4.9,0.015
1980-11-13,,NS-04,M,2.7,0.014
1980-11-13,,NS-04,S,1,0.014
1980-11-25,,NS-04,S,1,0.02
1981-04-29,,NS-04,B,4.3,0.008
1981-04-29,,NS-04,M,2.4,0.008
1981-04-29,,NS-04,S,1,0.003
1981-05-20,,NS-04,B,3.7,0.008
1981-05-20,,NS-04,M,2.1,0.009
1981-05-20,,NS-04,S,1,0.008
1981-06-09,,NS-04,B,5.5,0.005
1981-06-09,,NS-04,M,2.7,0.005
1981-06-09,,NS-04,S,1,0.006
1981-06-10,,NS-04,B,5.5,0.007
1981-06-10,,NS-04,M,2.7,0.01
1981-06-10,,NS-04,S,1,0.003
1981-07-06,,NS-04,B,4.9,0.005
1981-07-06,,NS-04,M,2.7,0.005
1981-07-06,,NS-04,S,1,0.006
1981-07-29,,NS-04,B,4.3,0.012
1981-07-29,,NS-04,M,2.4,0.011
1981-07-29,,NS-04,S,1,0.009
1981-08-10,,NS-04,B,4.9,0.008
1981-08-10,,NS-04,M,2.7,0.008
1981-08-10,,NS-04,S,1,0.004
1981-10-05,,NS-04,B,4.3,0.022
1981-10-05,,NS-04,M,2.4,0.022
1981-10-05,,NS-04,S,1,0.021
1981-10-16,,NS-04,B,4.3,0.02
1981-10-16,,NS-04,M,2.4,0.023
1981-10-16,,NS-04,S,1,0.019
1981-11-03,,NS-04,B,4.3,0.014
1981-11-03,,NS-04,M,2.4,0.006
1981-11-03,,NS-04,S,1,0.012
1982-05-05,,NS-04,B,7,0.011
1982-05-05,,NS-04,M,3.5,0.007
1982-05-05,,NS-04,S,1,0.009
1982-06-09,,NS-04,B,4,0.011
1982-06-09,,NS-04,M,2,0.017
1982-06-09,,NS-04,S,1,0.017
1982-06-30,,NS-04,B,6,0.013
1982-06-30,,NS-04,M,3,0.014
1982-06-30,,NS-04,S,1,0.011
1982-07-29,,NS-04,B,4,0.01
1982-07-29,,NS-04,M,2,0.005
1982-07-29,,NS-04,S,1,0.005
1983-08-02,,NS-04,B,6,0.009
1983-08-02,,NS-04,M,3,0.009
1983-08-02,,NS-04,S,1,0.009
1983-09-07,,NS-04,B,4,0.02
1983-09-07,,NS-04,M,2,0.011
1983-09-07,,NS-04,S,1,0.011
1984-07-30,,NS-04,B,5,0.013
1984-07-30,,NS-04,M,3,0.012
1984-07-30,,NS-04,S,1,0.011
1984-10-29,,NS-04,B,6,0.125
1984-10-29,,NS-04,M,3,0.017
1984-10-29,,NS-04,S,1,0.014
1985-05-21,,NS-04,B,5,0.013
1985-05-21,,NS-04,M,2.5,0.013
1985-05-21,,NS-04,S,1,0.015
1985-07-09,,NS-04,B,4,0.01
