
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1980-08-18,,NS-08,B,39,0.008
1980-08-18,,NS-08,M,19.8,0.008
1980-08-18,,NS-08,S,1,0.008
1980-09-03,,NS-08,B,39,0.014
1980-09-03,,NS-08,M,19.8,0.007
1980-09-03,,NS-08,S,1,0.005
1980-09-24,,NS-08,B,38.1,0.016
1980-09-24,,NS-08,M,18.9,0.009
1980-09-24,,NS-08,S,1,0.008
1980-09-30,,NS-08,B,39,0.009
1980-09-30,,NS-08,M,19.8,0.008
1980-09-30,,NS-08,S,1,0.007
1980-10-20,,NS-08,B,39,0.008
1980-10-20,,NS-08,M,19.8,0.006
1980-10-20,,NS-08,S,1,0.007
1980-10-27,,NS-08,B,14.6,0.008
1980-10-27,,NS-08,M,7.6,0.01
1980-10-27,,NS-08,S,1,0.01
1980-11-13,,NS-08,B,39,0.012
1980-11-13,,NS-08,M,19.8,0.009
1980-11-13,,NS-08,S,1,0.008
1980-11-25,,NS-08,S,1,0.008
1981-04-29,,NS-08,B,10.1,0.002
1981-04-29,,NS-08,M,20.4,0.002
1981-04-29,,NS-08,S,1,0.004
1981-05-20,,NS-08,B,22.3,0.005
1981-05-20,,NS-08,M,11.3,0.005
1981-05-20,,NS-08,S,1,0.005
1981-06-10,,NS-08,B,22.3,0.005
1981-06-10,,NS-08,M,11.6,0.002
1981-06-10,,NS-08,S,1,0.002
1981-07-06,,NS-08,B,10.7,0.002
1981-07-06,,NS-08,M,19.8,0.002
1981-07-06,,NS-08,S,1,0.002
1981-07-29,,NS-08,B,9.1,0.003
1981-07-29,,NS-08,M,19.8,0.002
1981-07-29,,NS-08,S,1,0.003
1981-08-10,,NS-08,B,9.8,0.003
1981-08-10,,NS-08,M,20.4,0.003
1981-08-10,,NS-08,S,1,0.003
1981-10-05,,NS-08,B,10.7,0.007
1981-10-05,,NS-08,M,20.4,0.007
1981-10-05,,NS-08,S,1,0.007
1981-10-16,,NS-08,B,10.1,0.006
1981-10-16,,NS-08,M,20.4,0.006
1981-10-16,,NS-08,S,1,0.008
1981-11-03,,NS-08,B,10.1,0.003
1981-11-03,,NS-08,M,20.4,0.003
1981-11-03,,NS-08,S,1,0.003
1982-05-05,,NS-08,B,38,0.007
1982-05-05,,NS-08,M,14,0.013
1982-05-05,,NS-08,S,1,0.007
1982-06-09,,NS-08,B,36,0.008
1982-06-09,,NS-08,M,18,0.005
1982-06-09,,NS-08,S,1,0.005
1982-06-30,,NS-08,B,36,0.009
1982-06-30,,NS-08,M,19,0.01
1982-06-30,,NS-08,S,1,0.003
1982-07-29,,NS-08,B,38,0.008
1982-07-29,,NS-08,M,20,0.006
1982-07-29,,NS-08,S,1,0.004
1983-09-07,,NS-08,B,39,0.014
1983-09-07,,NS-08,M,20,0.011
1983-09-07,,NS-08,S,1,0.024
1984-07-30,,NS-08,B,37,0.015
1984-07-30,,NS-08,M,19,0.011
1984-07-30,,NS-08,S,1,0.011
1984-10-29,,NS-08,B,34,0.011
1984-10-29,,NS-08,M,18,0.01
1984-10-29,,NS-08,S,1,0.008
1985-05-21,,NS-08,B,32,0.029
1985-05-21,,NS-08,M,16,0.023
1985-05-21,,NS-08,S,1,0.035
1985-07-09,,NS-08,B,34,0.006
1985-07-09,,NS-08,M,18,-9.999
1985-07-09,,NS-08,S,1,0.01
1985-08-06,,NS-08,B,34,0.047
1985-08-06,,NS-08,M,18,0.041
1985-08-06,,NS-08,S,1,0.021
1985-08-27,,NS-08,B,34,0.004
1985-08-27,,NS-08,M,17,0.009
1985-08-27,,NS-08,S,1,0.004
1985-10-15,,NS-08,B,36,0.009
1985-10-15,,NS-08,M,18,0.008
1985-10-15,,NS-08,S,1,0.011
1986-05-12,,NS-08,B,36,0.004
1986-05-12,,NS-08,M,18,0.004
1986-05-12,,NS-08,S,1,0.004
1986-05-29,,NS-08,B,38,0.006
1986-05-29,,NS-08,M,19,0.004
1986-05-29,,NS-08,S,1,0.004
1986-06-18,,NS-08,B,33,0.008
1986-06-18,,NS-08,M,17,0.01
1986-06-18,,NS-08,S,1,0.01
1986-06-23,,NS-08,B,36,0.012
1986-06-23,,NS-08,M,18,0.054
1986-06-23,,NS-08,S,1,0.044
1986-07-22,,NS-08,B,33,0.005
1986-07-22,,NS-08,M,17,0.004
1986-07-22,,NS-08,S,1,0.003
1986-08-05,,NS-08,B,35,0.004
1986-08-05,,NS-08,M,18,0.006
1986-08-05,,NS-08,S,1,0.004
1986-08-12,,NS-08,B,34,-9.999
1986-08-12,,NS-08,M,19.3,0.008
1986-08-12,,NS-08,S,1,0.005
1986-09-24,,NS-08,B,34,0.006
1986-09-24,,NS-08,M,17,0.002
1986-09-24,,NS-08,S,1,0.003
1986-10-21,,NS-08,B,35,0.012
1986-10-21,,NS-08,M,18,0.009
1986-10-21,,NS-08,S,1,0.01
1987-05-05,,NS-08,B,35,0.041
1987-05-05,,NS-08,M,18,0.012
1987-05-05,,NS-08,S,1,0.009
1987-06-15,,NS-08,B,36,0.022
1987-06-15,,NS-08,M,18,0.023
1987-06-15,,NS-08,S,1,0.041
1987-07-07,,NS-08,B,36,0.019
1987-07-07,,NS-08,M,18,0.012
1987-07-07,,NS-08,S,1,0.006
1987-07-21,,NS-08,B,35,0.011
1987-07-21,,NS-08,M,18,0.01
1987-07-21,,NS-08,S,1,0.009
1987-08-06,,NS-08,B,37,0.012
1987-08-06,,NS-08,M,19,0.013
1987-08-06,,NS-08,S,1,0.01
1987-08-18,,NS-08,B,36,0.009
1987-08-18,,NS-08,M,18,0.007
1987-08-18,,NS-08,S,1,0.007
1987-09-03,,NS-08,B,34,0.009
1987-09-03,,NS-08,M,17,0.035
1987-09-03,,NS-08,S,1,0.008
1987-09-14,,NS-08,B,37,0.011
1987-09-14,,NS-08,M,19,0.015
1987-09-14,,NS-08,S,1,0.012
1987-10-29,,NS-08,B,36,0.008
1987-10-29,,NS-08,M,18,0.009
1987-10-29,,NS-08,S,1,0.007
1988-05-26,,NS-08,B,-999.9,-9.999
1988-05-26,,NS-08,M,-999.9,-9.999
1988-05-26,,NS-08,S,-999.9,-9.999
1988-06-07,,NS-08,B,36,0.009
1988-06-07,,NS-08,M,18,0.004
1988-06-07,,NS-08,S,1,0.002
1988-07-14,,NS-08,B,35,0.009
1988-07-14,,NS-08,M,18,0.004
1988-07-14,,NS-08,S,1,0.004
1988-08-29,,NS-08,B,-999.9,-9.999
1988-08-29,,NS-08,M,-999.9,-9.999
1988-08-29,,NS-08,S,-999.9,-9.999
1988-10-20,,NS-08,B,-999.9,-9.999
1988-10-20,,NS-08,M,-999.9,-9.999
1988-10-20,,NS-08,S,-999.9,-9.999
1989-06-06,,NS-08,B,35,0.017
1989-06-06,,NS-08,M,18,0.002
1989-06-06,,NS-08,S,1,0.012
1989-07-17,,NS-08,B,6.5,0.004
1989-07-17,,NS-08,M,16.8,0.004
1989-07-17,,NS-08,S,1,0.006
1989-09-20,,NS-08,B,34,0.005
1989-09-20,,NS-08,M,17,0.01
1989-09-20,,NS-08,S,1,0.011
1989-10-26,,NS-08,B,33,0.009
1989-10-26,,NS-08,M,17,0.005
1989-10-26,,NS-08,S,1,0.004
1990-07-26,,NS-08,B,40,0.009
1990-07-26,,NS-08,M,20,0.011
1990-07-26,,NS-08,S,1,0.008
1991-05-21,,NS-08,B,36,0.01
1991-05-21,,NS-08,M,18,0.01
1991-05-21,,NS-08,S,1.1,0.008
1991-06-26,,NS-08,B,35.1,0.012
1991-06-26,,NS-08,M,15.9,0.013
1991-06-26,,NS-08,S,1.1,0.014
1991-07-11,,NS-08,B,32,0.011
1991-07-11,,NS-08,M,16,0.013
1991-07-11,,NS-08,S,1,0.008
1991-08-27,,NS-08,B,39.3,0.002
1991-08-27,,NS-08,M,20,0.002
1991-08-27,,NS-08,S,1.1,0.002
1991-10-10,,NS-08,B,35,0.01
1991-10-10,,NS-08,M,17.6,0.006
1991-10-10,,NS-08,S,1,0.009
1992-06-25,,NS-08,B,35,0.006
1992-06-25,,NS-08,M,17,0.008
1992-06-25,,NS-08,S,1,0.004
1992-10-01,,NS-08,B,34,0.005
1992-10-01,,NS-08,M,17,0.008
1992-10-01,,NS-08,S,1,0.005
1993-05-18,,NS-08,B,33.7,0.011
1993-05-18,,NS-08,M,17.7,0.01
1993-05-18,,NS-08,S,1,0.01
1993-06-02,,NS-08,B,34,0.01
1993-06-02,,NS-08,M,17,0.007
1993-06-02,,NS-08,S,1,0.005
1993-07-15,,NS-08,B,34,0.017
1993-07-15,,NS-08,M,17,0.009
1993-07-15,,NS-08,S,1,0.007
1993-08-05,,NS-08,B,33.8,0.023
1993-08-05,,NS-08,M,17,0.021
1993-08-05,,NS-08,S,1,0.014
1993-10-13,,NS-08,B,34.5,0.008
1993-10-13,,NS-08,M,17.7,0.008
1993-10-13,,NS-08,S,1,0.008
1994-05-05,,NS-08,B,35,0.008
1994-05-05,,NS-08,M,17.8,0.007
1994-05-05,,NS-08,S,1,0.007
1994-06-15,,NS-08,B,35,0.009
1994-06-15,,NS-08,M,18,0.008
1994-06-15,,NS-08,S,1,0.005
1994-07-18,,NS-08,B,33,0.012
1994-07-18,,NS-08,M,16.6,0.01
1994-07-18,,NS-08,S,1,0.009
1994-08-17,,NS-08,B,33.9,0.015
1994-08-17,,NS-08,M,18,0.012
1994-08-17,,NS-08,S,1,0.01
1994-09-07,,NS-08,B,34.3,0.01
1994-09-07,,NS-08,M,18.5,0.009
1994-09-07,,NS-08,S,1,0.006
1995-05-03,,NS-08,B,33.1,0.007
1995-05-03,,NS-08,M,17,0.006
1995-05-03,,NS-08,S,1,0.007
1995-05-31,,NS-08,B,34,0.017
1995-05-31,,NS-08,M,17.6,0.056
1995-05-31,,NS-08,S,1,0.006
1995-09-18,,NS-08,B,35,0.007
1995-09-18,,NS-08,M,18,0.007
1995-09-18,,NS-08,S,1,0.009
1995-10-10,,NS-08,B,34.7,0.006
1995-10-10,,NS-08,M,18,0.008
1995-10-10,,NS-08,S,1,0.006
1996-05-02,,NS-08,B,34.9,0.009
1996-05-02,,NS-08,M,18,0.009
1996-05-02,,NS-08,S,1,0.009
1996-05-22,,NS-08,B,36.1,0.009
1996-05-22,,NS-08,M,18.1,0.009
1996-05-22,,NS-08,S,0.6,0.009
1996-07-01,,NS-08,B,35.9,0.009
1996-07-01,,NS-08,M,18.4,0.009
1996-07-01,,NS-08,S,1,0.009
1996-08-21,,NS-08,B,36.1,0.07
1996-08-21,,NS-08,M,16,0.009
1996-08-21,,NS-08,S,1,0.009
1997-04-28,,NS-08,B,36,0.009
1997-04-28,,NS-08,M,17.9,0.015
1997-04-28,,NS-08,S,1,0.009
1997-06-04,,NS-08,B,35.1,0.009
1997-06-04,,NS-08,M,18,0.024
1997-06-04,,NS-08,S,1,0.009
1997-07-31,,NS-08,B,34.9,0.011
1997-07-31,,NS-08,M,18,0.009
1997-07-31,,NS-08,S,1,0.009
1998-04-20,11:49:00,NS-08,S,1,0
1998-04-20,11:50:00,NS-08,B,35,0
1998-04-20,11:50:00,NS-08,M,18,0
1998-05-27,13:06:00,NS-08,S,1.1,0
1998-05-27,13:08:00,NS-08,M,18.9,0
1998-05-27,13:09:00,NS-08,B,35.5,0.028
1998-06-23,13:53:00,NS-08,S,1,0
1998-06-23,13:54:00,NS-08,M,16.5,0.022
1998-06-23,13:56:00,NS-08,B,34,0
1998-09-17,13:24:00,NS-08,S,1,0
1998-09-17,13:25:00,NS-08,M,18,0.028
1998-09-17,13:27:00,NS-08,B,35,0
1999-05-19,14:34:00,NS-08,S,1,
1999-05-19,14:35:00,NS-08,M,18,0.00571
1999-05-19,14:37:00,NS-08,B,35,0.00349
1999-06-09,13:23:00,NS-08,S,1,0.00745
1999-06-09,13:24:00,NS-08,M,17.5,0.00654
1999-06-09,13:25:00,NS-08,B,34.1,0.00782
1999-07-12,13:47:00,NS-08,S,1,
1999-07-12,13:48:00,NS-08,M,18.2,0.00573
1999-07-12,13:50:00,NS-08,B,34.8,0.00663
2000-05-15,13:42:00,NS-08,S,0.9,0
2000-05-15,13:43:00,NS-08,M,18,0
2000-05-15,13:45:00,NS-08,B,35.1,0
2000-06-27,13:49:00,NS-08,S,1,0
2000-06-27,13:51:00,NS-08,M,16.9,0
2000-06-27,13:52:00,NS-08,B,33.8,0
2000-08-01,13:39:00,NS-08,S,1.1,0
2000-08-01,13:41:00,NS-08,M,18,0
2000-08-01,13:42:00,NS-08,B,35,0.02
2000-10-17,13:15:00,NS-08,S,1,0
2000-10-17,13:16:00,NS-08,M,17.4,0.026
2000-10-17,13:17:00,NS-08,B,33.2,0
2001-06-07,00:13:27,NS-08,S,1,0.02
2001-06-07,00:13:28,NS-08,M,18.1,0.02
2001-06-07,00:13:29,NS-08,B,35.1,0.02
2001-07-09,00:13:40,NS-08,S,1,0.04
2001-07-09,00:13:42,NS-08,M,17.1,0.03
2001-07-09,00:13:44,NS-08,B,33,0.01
2001-07-30,00:13:45,NS-08,S,1.1,0
2001-07-30,00:13:46,NS-08,M,17.2,0
2001-07-30,00:13:47,NS-08,B,34.1,0
2001-08-29,00:13:28,NS-08,S,1,0
2001-08-29,00:13:29,NS-08,M,17.2,0
2001-08-29,00:13:30,NS-08,B,34,0
2001-10-22,00:12:59,NS-08,S,1.3,0
2001-10-22,00:13:00,NS-08,M,18.1,0
2001-10-22,00:13:02,NS-08,B,32.1,0
2002-05-28,01:28:00,NS-08,S,1,0
2002-05-28,01:30:00,NS-08,,17.5,0
2002-05-28,01:31:00,NS-08,B,34,0
2002-06-24,01:42:00,NS-08,S,0.9,0.015
2002-06-24,01:43:00,NS-08,,17.9,0
2002-06-24,01:44:00,NS-08,B,35,0
2002-07-15,02:09:00,NS-08,S,1,0.06
2002-07-15,02:11:00,NS-08,,18.1,0.045
2002-07-15,02:13:00,NS-08,B,34.2,0.059
2002-07-31,01:18:00,NS-08,S,1.1,0.012
2002-07-31,01:19:00,NS-08,,16.9,0
2002-07-31,01:20:00,NS-08,B,33.3,0
2002-08-26,01:50:00,NS-08,S,1,0
2002-08-26,01:52:00,NS-08,,17.1,0
2002-08-26,01:53:00,NS-08,B,33.2,0.012
2002-09-09,01:46:00,NS-08,S,1,0
2002-09-09,01:48:00,NS-08,,17.8,0
2002-09-09,01:49:00,NS-08,B,34.8,0
2002-11-13,01:31:00,NS-08,S,1.1,0
2002-11-13,01:33:00,NS-08,,18.1,0
2002-11-13,01:35:00,NS-08,B,33.8,0
2003-05-06,01:15:47,NS-08,S,1.1,0.028
2003-05-06,01:17:01,NS-08,M,18,-999
2003-05-06,01:17:59,NS-08,B,33.7,-999
2003-06-02,01:32:29,NS-08,S,1,-999
2003-06-02,01:33:39,NS-08,M,17.9,0.021
2003-06-02,01:34:29,NS-08,B,35.1,0.017
2003-06-23,01:32:48,NS-08,S,1,-999
2003-06-23,01:33:41,NS-08,M,15.8,-999
2003-06-23,01:34:49,NS-08,B,36,0.14
2003-07-14,01:31:42,NS-08,S,0.8,-999
2003-07-14,01:33:59,NS-08,M,17.4,-999
2003-07-14,01:34:57,NS-08,B,34.9,-999
2003-07-29,01:40:59,NS-08,S,1.2,-999
2003-07-29,01:41:59,NS-08,M,17.1,-999
2003-07-29,01:43:04,NS-08,B,33,-999
2003-08-14,01:40:27,NS-08,S,0.9,-999
2003-08-14,01:41:32,NS-08,M,17.2,-999
2003-08-14,01:43:21,NS-08,B,33.3,-999
2003-10-06,02:27:49,NS-08,S,1.1,-999
2003-10-06,02:28:46,NS-08,M,18.2,-999
2003-10-06,02:29:44,NS-08,B,34.5,-999
2004-05-26,14:16:29,NS-08,S,1,0
2004-05-26,14:18:15,NS-08,M,17.7,0
2004-05-26,14:19:02,NS-08,B,33.9,0
2004-06-15,14:25:25,NS-08,S,1.1,0
2004-06-15,14:27:10,NS-08,M,17.2,0
2004-06-15,14:28:50,NS-08,B,34.1,0
2004-06-30,14:09:53,NS-08,S,1.1,0
2004-06-30,14:10:58,NS-08,M,18,0
2004-06-30,14:12:14,NS-08,B,35,0
2004-08-31,13:57:03,NS-08,S,1.1,0
2004-08-31,13:58:33,NS-08,M,17.5,0
2004-08-31,13:59:39,NS-08,B,33.4,0
2004-09-27,13:48:46,NS-08,S,1,0
2004-09-27,13:49:53,NS-08,M,18.1,0
2004-09-27,13:50:52,NS-08,B,35,0
2005-04-18,12:45:43,NS-08,S,1,0
2005-04-18,12:46:36,NS-08,M,18,0
2005-04-18,12:47:22,NS-08,B,35.1,0
2005-05-16,12:58:26,NS-08,S,1,0
2005-05-16,12:59:07,NS-08,M,17.9,0
2005-05-16,12:59:47,NS-08,B,34.8,0
2005-06-01,11:18:02,NS-08,S,0.9,0
2005-06-01,11:18:47,NS-08,M,18,0
2005-06-01,11:19:50,NS-08,B,34.8,0
2005-06-20,13:33:08,NS-08,S,1,0
2005-06-20,13:34:02,NS-08,M,17.4,0
2005-06-20,13:35:00,NS-08,B,34,0
2005-07-11,13:26:18,NS-08,S,1,0.02
2005-07-11,13:27:19,NS-08,M,18.1,0.014
2005-07-11,13:28:14,NS-08,B,33.4,0.012
2005-08-02,13:25:34,NS-08,S,0.9,0
2005-08-02,13:27:11,NS-08,M,17.4,0.021
2005-08-02,13:29:05,NS-08,B,34.8,0
2005-08-16,13:23:19,NS-08,S,0.9,0
2005-08-16,13:24:13,NS-08,M,17.1,0.017
2005-08-16,13:25:03,NS-08,B,34.1,0
2005-10-13,13:33:43,NS-08,S,1,0
2005-10-13,13:34:48,NS-08,M,17.7,0.022
2005-10-13,13:36:26,NS-08,B,34.7,0
2006-05-04,12:24:15,NS-08,S,1.14,0
2006-05-04,13:12:54,NS-08,M,18.19,0
2006-05-04,13:13:47,NS-08,B,35.04,0
2006-05-23,12:28:48,NS-08,S,1.03,0.024
2006-05-23,13:09:21,NS-08,M,18.04,0
2006-05-23,13:12:07,NS-08,B,34.58,0
2006-06-28,12:39:24,NS-08,S,1,0
2006-06-28,13:13:05,NS-08,M,17.56,0
2006-06-28,13:14:18,NS-08,B,33.43,0
2006-08-22,12:41:14,NS-08,S,0.99,0
2006-08-22,13:14:43,NS-08,M,17.2,0
2006-08-22,13:15:53,NS-08,B,32.94,0
2006-09-06,11:12:50,NS-08,S,1.02,0
2006-09-06,11:50:49,NS-08,M,17.11,0
2006-09-06,11:52:38,NS-08,B,33.47,0
2006-10-25,12:41:50,NS-08,S,0.99,0
2006-10-25,13:28:05,NS-08,M,18.3,0
