
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1980-05-05,,OH-14,B,17.7,0.01
1980-05-05,,OH-14,M,9.1,0.02
1980-05-05,,OH-14,S,1,0.02
1980-05-12,,OH-14,B,16.5,0.016
1980-05-12,,OH-14,M,8.5,0.024
1980-05-12,,OH-14,S,1,0.025
1980-05-20,,OH-14,B,14.6,0.014
1980-05-20,,OH-14,M,7.6,0.012
1980-05-20,,OH-14,S,1,0.02
1980-05-27,,OH-14,B,14.6,0.016
1980-05-27,,OH-14,M,9.1,0.016
1980-05-27,,OH-14,S,1,0.016
1980-06-02,,OH-14,B,16.2,0.008
1980-06-02,,OH-14,M,8.2,0.009
1980-06-02,,OH-14,S,1,0.012
1980-06-10,,OH-14,B,17.7,0.03
1980-06-10,,OH-14,M,9.1,0.018
1980-06-10,,OH-14,S,1,0.013
1980-06-18,,OH-14,B,16.2,0.01
1980-06-18,,OH-14,M,8.5,0.012
1980-06-18,,OH-14,S,1,0.009
1980-06-23,,OH-14,B,16.8,0.008
1980-06-23,,OH-14,M,8.2,0.007
1980-06-23,,OH-14,S,1,0.009
1980-06-30,,OH-14,B,16.8,0.007
1980-06-30,,OH-14,M,8.2,0.009
1980-06-30,,OH-14,S,1,0.009
1980-07-14,,OH-14,B,16.2,0.008
1980-07-14,,OH-14,M,8.2,0.014
1980-07-14,,OH-14,S,1,0.01
1980-07-21,,OH-14,B,15.2,0.011
1980-07-21,,OH-14,M,7.6,0.009
1980-07-21,,OH-14,S,1,0.008
1980-07-28,,OH-14,B,16.8,0.02
1980-07-28,,OH-14,M,8.2,0.005
1980-07-28,,OH-14,S,1,0.004
1980-08-06,,OH-14,B,16.8,0.012
1980-08-06,,OH-14,M,8.2,0.014
1980-08-06,,OH-14,S,1,0.017
1980-08-18,,OH-14,B,13.1,0.022
1980-08-18,,OH-14,M,8.2,0.013
1980-08-18,,OH-14,S,1,0.02
1980-08-25,,OH-14,B,16.8,0.008
1980-08-25,,OH-14,M,8.2,0.01
1980-08-25,,OH-14,S,1,0.009
1980-09-03,,OH-14,B,16.8,-9.999
1980-09-03,,OH-14,M,8.2,0.008
1980-09-03,,OH-14,S,1,0.01
1980-09-08,,OH-14,B,16.2,0.008
1980-09-08,,OH-14,M,8.2,0.011
1980-09-08,,OH-14,S,1,0.006
1980-09-24,,OH-14,B,16.5,0.012
1980-09-24,,OH-14,M,8.5,0.014
1980-09-24,,OH-14,S,1,0.011
1980-09-30,,OH-14,B,16.2,0.01
1980-09-30,,OH-14,M,8.2,0.01
1980-09-30,,OH-14,S,1,0.012
1980-10-06,,OH-14,B,16.2,0.008
1980-10-06,,OH-14,M,8.2,0.008
1980-10-06,,OH-14,S,1,0.009
1980-10-20,,OH-14,B,17.1,0.01
1980-10-20,,OH-14,M,8.8,0.009
1980-10-20,,OH-14,S,1,0.009
1980-10-27,,OH-14,B,16.5,0.01
1980-10-27,,OH-14,M,8.5,0.008
1980-10-27,,OH-14,S,1,0.01
1980-11-03,,OH-14,B,16.2,0.01
1980-11-03,,OH-14,M,8.2,0.01
1980-11-03,,OH-14,S,1,0.01
1980-11-13,,OH-14,B,17.1,0.012
1980-11-13,,OH-14,M,7.6,0.011
1980-11-13,,OH-14,S,1,0.01
1980-11-17,,OH-14,B,15.2,0.013
1980-11-17,,OH-14,M,7.9,0.009
1980-11-17,,OH-14,S,1,-9.999
1980-11-25,,OH-14,S,1,0.011
1980-12-01,,OH-14,B,16.2,0.008
1980-12-01,,OH-14,M,8.5,0.009
1980-12-01,,OH-14,S,1,0.007
1981-03-31,,OH-14,B,14.6,0.005
1981-03-31,,OH-14,M,7.6,0.005
1981-03-31,,OH-14,S,0.9,0.005
1981-04-15,,OH-14,B,16.2,0.002
1981-04-15,,OH-14,M,8.2,0.002
1981-04-15,,OH-14,S,0.9,0.002
1981-04-27,,OH-14,B,17.4,0.005
1981-04-27,,OH-14,M,8.5,0.008
1981-04-27,,OH-14,S,0.9,0.011
1981-04-29,,OH-14,B,17.4,0.005
1981-04-29,,OH-14,M,9.1,0.005
1981-04-29,,OH-14,S,1,0.017
1981-05-04,,OH-14,B,16.2,0.004
1981-05-04,,OH-14,M,8.2,0.003
1981-05-04,,OH-14,S,0.9,0.006
1981-05-12,,OH-14,B,17.1,0.028
1981-05-12,,OH-14,M,8.8,0.012
1981-05-12,,OH-14,S,0.9,0.006
1981-05-20,,OH-14,B,17.1,0.005
1981-05-20,,OH-14,M,8.5,0.004
1981-05-20,,OH-14,S,1,0.005
1981-05-26,,OH-14,B,16.5,0.045
1981-05-26,,OH-14,M,8.2,0.002
1981-05-26,,OH-14,S,0.9,0.004
1981-06-01,,OH-14,B,16.5,0.042
1981-06-01,,OH-14,M,8.5,0.007
1981-06-01,,OH-14,S,0.9,0.007
1981-06-10,,OH-14,B,17.1,0.002
1981-06-10,,OH-14,M,8.5,0.003
1981-06-10,,OH-14,S,1,0.002
1981-06-15,,OH-14,B,17.1,0.008
1981-06-15,,OH-14,M,8.8,0.004
1981-06-15,,OH-14,S,0.9,0.004
1981-06-22,,OH-14,B,16.5,0.007
1981-06-22,,OH-14,M,8.2,0.005
1981-06-22,,OH-14,S,0.9,0.003
1981-07-06,,OH-14,B,17.1,0.002
1981-07-06,,OH-14,M,8.5,0.002
1981-07-06,,OH-14,S,1,0.002
1981-07-07,,OH-14,B,16.5,0.003
1981-07-07,,OH-14,M,8.5,0.002
1981-07-07,,OH-14,S,0.9,0.002
1981-07-14,,OH-14,B,16.5,0.008
1981-07-14,,OH-14,M,8.5,0.006
1981-07-14,,OH-14,S,0.9,0.007
1981-07-29,,OH-14,B,16.5,0.045
1981-07-29,,OH-14,M,8.2,0.003
1981-07-29,,OH-14,S,1,0.011
1981-07-30,,OH-14,B,16.5,0.003
1981-07-30,,OH-14,M,9.1,0.005
1981-07-30,,OH-14,S,0.9,0.007
1981-08-03,,OH-14,B,15.8,0.005
1981-08-03,,OH-14,M,7.9,0.006
1981-08-03,,OH-14,S,0.9,0.007
1981-08-10,,OH-14,B,16.5,0.005
1981-08-10,,OH-14,M,8.5,0.004
1981-08-10,,OH-14,S,1,0.006
1981-08-13,,OH-14,B,16.5,0.008
1981-08-13,,OH-14,M,8.2,0.007
1981-08-13,,OH-14,S,0.9,0.004
1981-08-24,,OH-14,B,16.5,0.005
1981-08-24,,OH-14,M,8.5,0.003
1981-08-24,,OH-14,S,0.9,0.003
1981-09-08,,OH-14,B,16,0.009
1981-09-08,,OH-14,M,8,0.008
1981-09-08,,OH-14,S,1,0.007
1981-09-15,,OH-14,B,16.5,0.009
1981-09-15,,OH-14,M,8.2,0.006
1981-09-15,,OH-14,S,0.9,0.015
1981-09-28,,OH-14,B,15.5,0.009
1981-09-28,,OH-14,M,8.2,0.011
1981-09-28,,OH-14,S,0.9,0.007
1981-10-05,,OH-14,B,16.5,0.008
1981-10-05,,OH-14,M,8.5,0.01
1981-10-05,,OH-14,S,1,0.011
1981-10-06,,OH-14,B,16.5,0.019
1981-10-06,,OH-14,M,8.2,0.01
1981-10-06,,OH-14,S,0.9,0.012
1981-10-16,,OH-14,B,17.1,0.028
1981-10-16,,OH-14,M,8.5,0.01
1981-10-16,,OH-14,S,1,0.015
1981-10-19,,OH-14,B,16.5,0.015
1981-10-19,,OH-14,M,8.2,0.009
1981-10-19,,OH-14,S,0.9,0.009
1981-10-27,,OH-14,B,16.5,0.005
1981-10-27,,OH-14,M,8.2,0.003
1981-10-27,,OH-14,S,0.9,0.004
1981-11-03,,OH-14,B,16.5,0.007
1981-11-03,,OH-14,M,8.2,0.003
1981-11-03,,OH-14,S,1,0.006
1981-11-13,,OH-14,B,16.5,0.007
1981-11-13,,OH-14,M,8.2,0.006
1981-11-13,,OH-14,S,0.9,0.009
1981-11-16,,OH-14,B,16.2,0.006
1981-11-16,,OH-14,M,8.2,0.004
1981-11-16,,OH-14,S,0.9,0.005
1981-12-07,,OH-14,B,16.5,0.008
1981-12-07,,OH-14,M,8.2,0.007
1981-12-07,,OH-14,S,0.9,0.009
