
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1980-08-18,,NS-03,B,22.3,0.009
1980-08-18,,NS-03,M,11.3,0.007
1980-08-18,,NS-03,S,1,0.006
1980-09-03,,NS-03,B,22.3,0.022
1980-09-03,,NS-03,M,11.3,0.039
1980-09-03,,NS-03,S,1,0.049
1980-09-24,,NS-03,B,22.3,0.007
1980-09-24,,NS-03,M,11.3,0.01
1980-09-24,,NS-03,S,1,0.004
1980-09-30,,NS-03,B,22.3,0.011
1980-09-30,,NS-03,M,11.6,0.008
1980-09-30,,NS-03,S,1,0.007
1980-10-20,,NS-03,B,23.8,0.011
1980-10-20,,NS-03,M,12.2,0.006
1980-10-20,,NS-03,S,1,0.006
1980-10-27,,NS-03,B,22.3,0.016
1980-10-27,,NS-03,M,11.3,0.008
1980-10-27,,NS-03,S,1,0.009
1980-11-13,,NS-03,B,20.7,0.008
1980-11-13,,NS-03,M,10.7,0.013
1980-11-13,,NS-03,S,1,0.006
1980-11-25,,NS-03,S,1,0.008
1981-04-29,,NS-03,B,21.3,0.005
1981-04-29,,NS-03,M,11.3,0.002
1981-04-29,,NS-03,S,1,0.002
1981-05-20,,NS-03,B,22.3,0.005
1981-05-20,,NS-03,M,11.3,0.005
1981-05-20,,NS-03,S,1,0.003
1981-06-09,,NS-03,B,21.9,0.003
1981-06-09,,NS-03,M,11.3,0.002
1981-06-09,,NS-03,S,1,0.003
1981-06-10,,NS-03,B,21.9,0.002
1981-06-10,,NS-03,M,11.3,0.002
1981-06-10,,NS-03,S,1,0.007
1981-07-06,,NS-03,B,21.9,0.002
1981-07-06,,NS-03,M,10.7,0.002
1981-07-06,,NS-03,S,1,0.002
1981-07-23,,NS-03,B,22.3,0.003
1981-07-23,,NS-03,M,11.3,0.013
1981-07-23,,NS-03,S,1,0.003
1981-07-29,,NS-03,B,22.3,0.002
1981-07-29,,NS-03,M,11.3,0.002
1981-07-29,,NS-03,S,1,0.002
1981-08-10,,NS-03,B,21.9,0.003
1981-08-10,,NS-03,M,11.3,0.002
1981-08-10,,NS-03,S,1,0.002
1981-10-05,,NS-03,B,20.7,0.006
1981-10-05,,NS-03,M,10.7,0.007
1981-10-05,,NS-03,S,1,0.007
1981-10-16,,NS-03,B,22.3,0.005
1981-10-16,,NS-03,M,11.3,0.005
1981-10-16,,NS-03,S,1,0.007
1981-11-03,,NS-03,B,21.9,0.002
1981-11-03,,NS-03,M,11.3,0.002
1981-11-03,,NS-03,S,1,0.002
1982-05-05,,NS-03,B,22,0.009
1982-05-05,,NS-03,M,11,0.007
1982-05-05,,NS-03,S,1,0.007
1982-06-09,,NS-03,B,21,0.006
1982-06-09,,NS-03,M,11,0.006
1982-06-09,,NS-03,S,1,0.01
1982-06-30,,NS-03,B,22,0.004
1982-06-30,,NS-03,M,11,0.003
1982-06-30,,NS-03,S,1,0.005
1982-07-28,,NS-03,B,21,-9.999
1982-07-28,,NS-03,M,11,0.01
1982-07-28,,NS-03,S,1,0.004
1982-07-29,,NS-03,B,21,0.007
1982-07-29,,NS-03,M,11,0.004
1982-07-29,,NS-03,S,1,0.004
1983-08-02,,NS-03,B,21,0.008
1983-08-02,,NS-03,M,11,0.008
1983-08-02,,NS-03,S,1,0.007
1983-09-07,,NS-03,B,22,0.01
1983-09-07,,NS-03,M,11,0.014
1983-09-07,,NS-03,S,1,0.011
1984-07-30,,NS-03,B,21,0.013
1984-07-30,,NS-03,M,11,0.018
1984-07-30,,NS-03,S,1,0.01
1984-10-29,,NS-03,B,21,0.009
1984-10-29,,NS-03,M,11,0.014
1984-10-29,,NS-03,S,1,0.01
1985-05-21,,NS-03,B,22,0.011
1985-05-21,,NS-03,M,11,0.011
1985-05-21,,NS-03,S,1,0.01
1985-07-09,,NS-03,B,22,0.005
1985-07-09,,NS-03,M,11,0.014
1985-07-09,,NS-03,S,1,-9.999
1985-08-06,,NS-03,B,21,0.014
