
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1980-04-22,,SS-12,B,7.3,0.02
1980-04-22,,SS-12,M,4,0.02
1980-04-22,,SS-12,S,1,0.02
1980-05-06,,SS-12,B,7.3,0.02
1980-05-06,,SS-12,M,4,0.02
1980-05-06,,SS-12,S,1,0.02
1980-05-14,,SS-12,B,7.3,0.017
1980-05-14,,SS-12,M,4,0.02
1980-05-14,,SS-12,S,1,0.015
1980-05-21,,SS-12,B,7.3,0.019
1980-05-21,,SS-12,M,4,0.021
1980-05-21,,SS-12,S,1,0.028
1980-06-03,,SS-12,B,9.1,0.018
1980-06-03,,SS-12,M,4.9,0.017
1980-06-03,,SS-12,S,1,0.01
1980-06-11,,SS-12,B,7.3,0.027
1980-06-11,,SS-12,M,4,0.019
1980-06-11,,SS-12,S,1,0.041
1980-06-17,,SS-12,B,7.3,0.014
1980-06-17,,SS-12,M,4,0.014
1980-06-17,,SS-12,S,1,0.012
1980-06-24,,SS-12,B,7.3,0.012
1980-06-24,,SS-12,M,3.7,0.013
1980-06-24,,SS-12,S,1,0.012
1980-07-01,,SS-12,B,7.3,0.012
1980-07-01,,SS-12,M,4,0.012
1980-07-01,,SS-12,S,1,0.016
1980-07-15,,SS-12,B,7.3,0.01
1980-07-15,,SS-12,M,4,0.012
1980-07-15,,SS-12,S,1,0.008
1980-07-22,,SS-12,B,7.3,0.016
1980-07-22,,SS-12,M,4,0.023
1980-07-22,,SS-12,S,1,0.018
1980-07-29,,SS-12,B,7.3,0.016
1980-07-29,,SS-12,M,4,0.013
1980-07-29,,SS-12,S,1,0.011
1980-08-26,,SS-12,B,6.7,0.014
1980-08-26,,SS-12,M,3.7,0.058
1980-08-26,,SS-12,S,1,0.016
1980-09-09,,SS-12,B,7.3,0.01
1980-09-09,,SS-12,M,4,0.015
1980-09-09,,SS-12,S,1,0.013
1980-09-23,,SS-12,B,7.3,0.026
1980-09-23,,SS-12,M,4,0.021
1980-09-23,,SS-12,S,1,0.022
1980-10-07,,SS-12,B,6.7,0.02
1980-10-07,,SS-12,M,3.4,0.036
1980-10-07,,SS-12,S,1,0.046
1980-11-04,,SS-12,B,7.3,0.019
1980-11-04,,SS-12,M,4,0.014
1980-11-04,,SS-12,S,1,0.014
1980-11-19,,SS-12,B,6.7,0.032
1980-11-19,,SS-12,M,3.7,0.018
1980-11-19,,SS-12,S,1,0.015
1981-05-13,,SS-12,B,7.3,0.039
1981-05-13,,SS-12,M,4,0.02
1981-05-13,,SS-12,S,1,0.022
1981-06-02,,SS-12,B,6.1,0.024
1981-06-02,,SS-12,M,3.4,0.015
1981-06-02,,SS-12,S,1,0.015
1981-06-16,,SS-12,B,7.3,0.01
1981-06-16,,SS-12,M,4,0.011
1981-06-16,,SS-12,S,1,0.011
1981-07-16,,SS-12,B,6.7,0.031
1981-07-16,,SS-12,M,3.7,0.023
1981-07-16,,SS-12,S,1,0.019
1981-08-04,,SS-12,B,7.3,0.011
1981-08-04,,SS-12,M,4,0.015
1981-08-04,,SS-12,S,1,0.007
1981-08-26,,SS-12,B,6.7,0.016
1981-08-26,,SS-12,M,3.7,0.014
1981-08-26,,SS-12,S,1,0.013
1981-09-18,,SS-12,B,7.3,0.023
1981-09-18,,SS-12,M,3.7,0.015
1981-09-18,,SS-12,S,1,0.013
1981-10-08,,SS-12,B,7.3,0.025
1981-10-08,,SS-12,M,4,0.026
1981-10-08,,SS-12,S,1,0.026
1981-10-20,,SS-12,B,6.7,0.046
1981-10-20,,SS-12,M,3.7,0.03
1981-10-20,,SS-12,S,1,0.045
1981-11-17,,SS-12,B,6.7,0.008
1981-11-17,,SS-12,M,3.7,0.007
1981-11-17,,SS-12,S,1,0.005
1982-06-22,,SS-12,B,6.5,0.007
1982-06-22,,SS-12,M,3.5,0.009
1982-06-22,,SS-12,S,1,0.023
1982-07-14,,SS-12,B,6.5,0.008
1982-07-14,,SS-12,M,3.5,0.025
1982-07-14,,SS-12,S,1,0.006
1982-08-11,,SS-12,B,6,0.012
1982-08-11,,SS-12,M,3.5,0.012
1982-08-11,,SS-12,S,1,0.011
1985-04-02,,SS-12,B,7,0.067
1985-04-02,,SS-12,M,4,0.052
1985-04-02,,SS-12,S,1,0.054
1985-05-10,,SS-12,B,7,0.02
1985-05-10,,SS-12,M,4,0.027
1985-05-10,,SS-12,S,1,0.031
1985-05-22,,SS-12,B,8,0.019
1985-05-22,,SS-12,M,4,0.017
1985-05-22,,SS-12,S,1,0.016
1985-06-06,,SS-12,B,7,0.008
1985-06-06,,SS-12,M,4.5,0.01
1985-06-06,,SS-12,S,1,0.005
1985-06-18,,SS-12,B,10,0.029
1985-06-18,,SS-12,M,4,0.014
1985-06-18,,SS-12,S,1,0.011
1985-07-01,,SS-12,B,7,0.008
1985-07-01,,SS-12,M,3.5,0.007
1985-07-01,,SS-12,S,1,0.008
1985-07-15,,SS-12,B,6,0.191
1985-07-15,,SS-12,M,3,0.11
1985-07-15,,SS-12,S,1,0.123
1985-07-29,,SS-12,B,6,0.024
1985-07-29,,SS-12,M,3,0.025
1985-07-29,,SS-12,S,1,0.04
1985-08-14,,SS-12,B,8,0.024
1985-08-14,,SS-12,M,4,0.023
1985-08-14,,SS-12,S,1,0.031
1985-08-26,,SS-12,B,8,0.015
1985-08-26,,SS-12,M,4,0.016
1985-08-26,,SS-12,S,1,0.013
1985-09-18,,SS-12,B,8,0.018
1985-09-18,,SS-12,M,4,0.018
1985-09-18,,SS-12,S,1,0.017
1985-09-24,,SS-12,B,7,0.015
1985-09-24,,SS-12,M,3.5,0.013
1985-09-24,,SS-12,S,1,0.014
1985-10-10,,SS-12,B,8,0.014
1985-10-10,,SS-12,M,4,0.012
1985-10-10,,SS-12,S,1,0.014
1985-10-24,,SS-12,B,8,0.019
1985-10-24,,SS-12,M,4,0.022
1985-10-24,,SS-12,S,1,0.032
1985-11-06,,SS-12,B,7,0.067
1985-11-06,,SS-12,M,4,0.08
1985-11-06,,SS-12,S,1,0.055
1985-11-19,,SS-12,B,8,0.047
1985-11-19,,SS-12,M,4,0.065
1985-11-19,,SS-12,S,1,0.078
1986-04-11,,SS-12,B,8,0.042
1986-04-11,,SS-12,M,4,0.033
1986-04-11,,SS-12,S,1,0.036
1986-04-23,,SS-12,B,8,0.036
1986-04-23,,SS-12,M,4,0.034
1986-04-23,,SS-12,S,1,0.029
1986-05-06,,SS-12,B,7,0.004
1986-05-06,,SS-12,M,3.5,0.004
1986-05-06,,SS-12,S,1,0.006
1986-05-22,,SS-12,B,8,0.018
1986-05-22,,SS-12,M,4,0.018
1986-05-22,,SS-12,S,1,0.019
1986-06-04,,SS-12,B,8,0.161
1986-06-04,,SS-12,M,4,0.019
1986-06-04,,SS-12,S,1,0.017
1986-06-17,,SS-12,B,8,0.003
1986-06-17,,SS-12,M,4,0.004
1986-06-17,,SS-12,S,1,0.003
1986-07-01,,SS-12,B,8,0.037
1986-07-01,,SS-12,M,4,0.019
1986-07-01,,SS-12,S,1,0.017
1986-07-17,,SS-12,B,8,0.025
1986-07-17,,SS-12,M,4,0.02
1986-07-17,,SS-12,S,1,0.017
1986-07-30,,SS-12,B,8,0.01
1986-07-30,,SS-12,M,4,0.01
1986-07-30,,SS-12,S,1,0.012
1986-08-13,,SS-12,B,8,0.011
1986-08-13,,SS-12,M,4,0.016
1986-08-13,,SS-12,S,1,0.012
1986-09-09,,SS-12,B,8,0.014
1986-09-09,,SS-12,M,4,0.015
1986-09-09,,SS-12,S,1,0.009
1986-09-23,,SS-12,B,8,0.03
1986-09-23,,SS-12,M,4,0.05
1986-09-23,,SS-12,S,1,0.059
1986-10-08,,SS-12,B,8,0.045
1986-10-08,,SS-12,M,4,0.055
1986-10-08,,SS-12,S,1,0.052
1986-10-22,,SS-12,B,8,0.024
1986-10-22,,SS-12,M,4,0.023
1986-10-22,,SS-12,S,1,0.021
1986-11-06,,SS-12,B,7,0.036
1986-11-06,,SS-12,M,4,0.046
1986-11-06,,SS-12,S,1,0.034
1986-12-16,,SS-12,B,8,0.027
1986-12-16,,SS-12,M,4,0.017
1986-12-16,,SS-12,S,1,0.015
1987-04-09,,SS-12,B,7,0.014
1987-04-09,,SS-12,M,3.5,0.012
1987-04-09,,SS-12,S,1,0.023
1987-04-23,,SS-12,B,8,0.032
1987-04-23,,SS-12,M,4,0.032
1987-04-23,,SS-12,S,1,0.025
1987-05-06,,SS-12,B,7,0.017
1987-05-06,,SS-12,M,3.5,0.02
1987-05-06,,SS-12,S,1,0.018
1987-05-21,,SS-12,B,8,0.017
1987-05-21,,SS-12,M,4,0.027
1987-05-21,,SS-12,S,1,0.02
1987-06-02,,SS-12,B,8,0.012
1987-06-02,,SS-12,M,4,0.023
1987-06-02,,SS-12,S,1,0.02
1987-06-17,,SS-12,B,7,0.024
1987-06-17,,SS-12,M,3.5,0.022
1987-06-17,,SS-12,S,1,0.024
1987-06-30,,SS-12,B,7,0.009
1987-06-30,,SS-12,M,3.5,0.009
1987-06-30,,SS-12,S,1,0.007
1987-07-16,,SS-12,B,7,0.01
1987-07-16,,SS-12,M,3.5,0.013
1987-07-16,,SS-12,S,1,0.06
1987-07-28,,SS-12,B,7,0.025
1987-07-28,,SS-12,M,3.5,0.023
1987-07-28,,SS-12,S,1,0.016
1987-08-11,,SS-12,B,6,0.017
