
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1979-04-18,,OH-04,B,7,0.05
1979-04-18,,OH-04,M,3.4,0.09
1979-04-18,,OH-04,S,1,0.05
1979-04-25,,OH-04,B,7.3,0.16
1979-04-25,,OH-04,M,3.7,0.06
1979-04-25,,OH-04,S,1,0.2
1979-05-01,,OH-04,B,7.9,0.11
1979-05-01,,OH-04,M,4,0.1
1979-05-01,,OH-04,S,1,0.14
1979-05-10,,OH-04,B,6.7,0.06
1979-05-10,,OH-04,M,3.7,0.07
1979-05-10,,OH-04,S,1,0.06
1979-05-15,,OH-04,B,7,0.04
1979-05-15,,OH-04,M,3.7,0.06
1979-05-15,,OH-04,S,1,0.09
1979-05-22,,OH-04,B,6.7,0.06
1979-05-22,,OH-04,M,3.7,0.05
1979-05-22,,OH-04,S,1,0.07
1979-05-29,,OH-04,B,7.3,0.14
1979-05-29,,OH-04,M,4,0.07
1979-05-29,,OH-04,S,1,0.08
1979-06-05,,OH-04,B,7.3,0.06
1979-06-05,,OH-04,M,4,0.06
1979-06-05,,OH-04,S,1,0.06
1979-06-12,,OH-04,B,6.1,0.07
1979-06-12,,OH-04,M,3.4,0.08
1979-06-12,,OH-04,S,1,0.06
1979-06-21,,OH-04,B,6.7,0.12
1979-06-21,,OH-04,M,3.7,0.09
1979-06-21,,OH-04,S,1,0.08
1979-06-26,,OH-04,B,7.3,0.05
1979-06-26,,OH-04,M,3.7,0.06
1979-06-26,,OH-04,S,1,0.06
1979-07-02,,OH-04,B,7.3,0.07
1979-07-02,,OH-04,M,4,0.04
1979-07-02,,OH-04,S,1,0.05
1979-07-10,,OH-04,B,6.7,0.05
1979-07-10,,OH-04,M,3.7,0.05
1979-07-10,,OH-04,S,1,0.06
1979-07-18,,OH-04,B,6.1,0.05
1979-07-18,,OH-04,M,3,0.05
1979-07-18,,OH-04,S,1,0.05
1979-07-24,,OH-04,B,6.4,0.04
1979-07-24,,OH-04,M,3.7,0.04
1979-07-24,,OH-04,S,1,0.06
1979-08-02,,OH-04,B,6.7,0.03
1979-08-02,,OH-04,M,3.7,0.04
1979-08-02,,OH-04,S,1,0.04
1979-08-07,,OH-04,B,6.1,0.04
1979-08-07,,OH-04,M,3.4,0.06
1979-08-07,,OH-04,S,1,0.06
1979-08-14,,OH-04,B,7.3,0.04
1979-08-14,,OH-04,M,4,0.07
1979-08-14,,OH-04,S,1,0.09
1979-08-21,,OH-04,B,6.7,0.05
1979-08-21,,OH-04,M,3.7,0.05
1979-08-21,,OH-04,S,1,0.1
1979-08-28,,OH-04,B,7.3,0.05
1979-08-28,,OH-04,M,4,0.07
1979-08-28,,OH-04,S,1,0.11
1979-09-12,,OH-04,B,7.3,0.04
1979-09-12,,OH-04,M,4,0.05
1979-09-12,,OH-04,S,1,0.06
1979-09-18,,OH-04,B,7.9,0.03
1979-09-18,,OH-04,M,4.3,0.04
1979-09-18,,OH-04,S,1,0.05
1979-10-05,,OH-04,B,7.3,0.04
1979-10-05,,OH-04,M,3.7,0.05
