
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1980-08-18,,NS-01,B,22.3,0.011
1980-08-18,,NS-01,M,11.3,0.008
1980-08-18,,NS-01,S,1,0.014
1980-09-03,,NS-01,B,22.9,0.004
1980-09-03,,NS-01,M,11.3,0.002
1980-09-03,,NS-01,S,1,0.005
1980-09-24,,NS-01,B,22.3,0.026
1980-09-24,,NS-01,M,11.3,0.006
1980-09-24,,NS-01,S,1,0.006
1980-09-30,,NS-01,B,22.3,0.008
1980-09-30,,NS-01,M,11.6,0.011
1980-09-30,,NS-01,S,1,0.022
1980-10-20,,NS-01,B,22.3,0.008
1980-10-20,,NS-01,M,11.3,0.016
1980-10-20,,NS-01,S,1,0.011
1980-10-27,,NS-01,B,22.3,0.01
1980-10-27,,NS-01,M,11.3,0.006
1980-10-27,,NS-01,S,1,0.008
1981-04-29,,NS-01,B,20.4,0.002
1981-04-29,,NS-01,M,10.7,0.002
1981-04-29,,NS-01,S,1,0.002
1981-05-20,,NS-01,B,22.9,0.003
1981-05-20,,NS-01,M,11.3,0.004
1981-05-20,,NS-01,S,1,0.009
1981-06-09,,NS-01,B,21.9,0.003
1981-06-09,,NS-01,M,11.3,0.005
1981-06-09,,NS-01,S,1,0.002
1981-06-10,,NS-01,B,21.9,0.002
1981-06-10,,NS-01,M,11.3,0.003
1981-06-10,,NS-01,S,1,0.002
1981-07-06,,NS-01,B,21.9,0.005
1981-07-06,,NS-01,M,10.7,0.002
1981-07-06,,NS-01,S,1,0.005
1981-07-29,,NS-01,B,22.3,0.002
1981-07-29,,NS-01,M,11.3,0.002
1981-07-29,,NS-01,S,1,0.002
1981-08-10,,NS-01,B,21.9,0.016
1981-08-10,,NS-01,M,11.3,0.002
1981-08-10,,NS-01,S,1,0.002
1981-10-05,,NS-01,B,22.3,0.011
1981-10-05,,NS-01,M,11.3,0.008
1981-10-05,,NS-01,S,1,0.007
1981-10-16,,NS-01,B,22.3,0.007
1981-10-16,,NS-01,M,11.3,0.007
1981-10-16,,NS-01,S,1,0.008
1981-11-03,,NS-01,B,22.3,0.002
1981-11-03,,NS-01,M,11.3,0.005
1981-11-03,,NS-01,S,1,0.005
1982-06-09,,NS-01,B,23,-9.999
1982-06-09,,NS-01,M,12,-9.999
1982-06-09,,NS-01,S,1,0.008
1982-06-30,,NS-01,B,21,0.007
1982-06-30,,NS-01,M,11,0.006
