
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1979-05-11,,SS-06,B,7,0.03
1979-05-11,,SS-06,M,4,0.04
1979-05-11,,SS-06,S,1,0.02
1979-05-15,,SS-06,B,5.8,0.02
1979-05-15,,SS-06,M,2.7,0.02
1979-05-15,,SS-06,S,1,0.02
1979-05-22,,SS-06,B,8.2,0.14
1979-05-22,,SS-06,M,4,0.13
1979-05-22,,SS-06,S,1,0.14
1979-05-29,,SS-06,B,8.2,0.01
1979-05-29,,SS-06,M,4,0.01
1979-05-29,,SS-06,S,1,0.01
1979-06-05,,SS-06,B,7.9,0.01
1979-06-05,,SS-06,M,4,0.02
1979-06-05,,SS-06,S,1,0.01
1979-06-13,,SS-06,B,7.3,0.01
1979-06-13,,SS-06,M,3.7,0.01
1979-06-13,,SS-06,S,1,0.01
1979-06-22,,SS-06,B,8.8,0.04
1979-06-22,,SS-06,M,4.6,0.01
1979-06-22,,SS-06,S,1,0.01
1979-06-27,,SS-06,B,1,0.01
1979-06-27,,SS-06,M,1,0.01
1979-06-27,,SS-06,S,1,0.01
1979-07-02,,SS-06,B,1,0.01
1979-07-02,,SS-06,M,1,0.01
1979-07-02,,SS-06,S,1,0.03
1979-07-10,,SS-06,B,8.8,0.01
1979-07-10,,SS-06,M,4.6,0.01
1979-07-10,,SS-06,S,1,0.01
1979-07-18,,SS-06,B,8.5,0.01
1979-07-18,,SS-06,M,4.6,0.01
1979-07-18,,SS-06,S,1,0.01
1979-07-24,,SS-06,B,7.9,0.02
1979-07-24,,SS-06,M,4.3,0.01
1979-07-24,,SS-06,S,1,0.01
1979-08-02,,SS-06,B,7.9,0.01
1979-08-02,,SS-06,M,4.3,0.01
1979-08-02,,SS-06,S,1,0.01
1979-08-14,,SS-06,B,9.1,0.03
1979-08-14,,SS-06,M,4.9,0.02
1979-08-14,,SS-06,S,1,0.03
1979-08-21,,SS-06,B,9.1,0.04
1979-08-21,,SS-06,M,4.9,0.01
1979-08-21,,SS-06,S,1,0.01
1979-08-28,,SS-06,B,8.5,0.04
1979-08-28,,SS-06,M,4.6,0.01
1979-08-28,,SS-06,S,1,0.01
1979-09-12,,SS-06,B,8.5,0.02
1979-09-12,,SS-06,M,4.6,0.01
1979-09-12,,SS-06,S,1,0.01
1979-09-18,,SS-06,B,9.1,0.04
1979-09-18,,SS-06,M,4.9,0.05
1979-09-18,,SS-06,S,1,0.02
