
Collection Date,Collection Time,Site,Sample Depth,Depth,Total Phosphorus
1980-04-22,,SS-11,B,9.8,0.03
1980-04-22,,SS-11,M,5.2,0.02
1980-04-22,,SS-11,S,1,0.03
1980-05-06,,SS-11,B,8.5,0.02
1980-05-06,,SS-11,M,4.6,0.01
1980-05-06,,SS-11,S,1,0.02
1980-05-14,,SS-11,B,9.1,0.013
1980-05-14,,SS-11,M,4.9,0.014
1980-05-14,,SS-11,S,1,0.015
1980-05-21,,SS-11,B,9.1,0.02
1980-05-21,,SS-11,M,4.9,0.021
1980-05-21,,SS-11,S,1,0.02
1980-06-03,,SS-11,B,9.1,0.01
1980-06-03,,SS-11,M,4.9,0.01
1980-06-03,,SS-11,S,1,0.012
1980-06-11,,SS-11,B,8.5,0.042
1980-06-11,,SS-11,M,4.6,0.049
1980-06-11,,SS-11,S,1,0.018
1980-06-17,,SS-11,B,9.1,0.009
1980-06-17,,SS-11,M,4.6,0.01
1980-06-17,,SS-11,S,1,0.009
1980-06-24,,SS-11,B,8.5,0.01
1980-06-24,,SS-11,M,4.6,0.004
1980-06-24,,SS-11,S,1,0.007
1980-07-01,,SS-11,B,8.5,0.008
1980-07-01,,SS-11,M,4.6,0.008
1980-07-01,,SS-11,S,1,0.012
1980-07-15,,SS-11,B,8.5,0.01
1980-07-15,,SS-11,M,4.6,0.022
1980-07-15,,SS-11,S,1,0.01
1980-07-22,,SS-11,B,8.5,0.01
1980-07-22,,SS-11,M,4.6,0.014
1980-07-22,,SS-11,S,1,0.008
1980-07-29,,SS-11,B,7.9,0.01
1980-07-29,,SS-11,M,4.3,0.01
1980-07-29,,SS-11,S,1,0.006
1980-08-18,,SS-11,B,8.5,0.012
1980-08-18,,SS-11,M,4.6,0.017
1980-08-18,,SS-11,S,1,0.017
1980-08-26,,SS-11,B,8.5,0.014
1980-08-26,,SS-11,M,4.9,0.01
1980-08-26,,SS-11,S,1,0.009
1980-09-03,,SS-11,B,8.5,0.01
1980-09-03,,SS-11,M,4.6,0.01
1980-09-03,,SS-11,S,1,0.008
1980-09-09,,SS-11,B,8.5,0.009
1980-09-09,,SS-11,M,4.6,0.014
1980-09-09,,SS-11,S,1,0.011
1980-09-23,,SS-11,B,8.5,0.019
1980-09-23,,SS-11,M,4.6,0.018
1980-09-23,,SS-11,S,1,0.029
1980-09-24,,SS-11,B,8.5,0.014
1980-09-24,,SS-11,M,4.6,0.016
1980-09-24,,SS-11,S,1,0.016
1980-09-30,,SS-11,B,8.5,0.013
1980-09-30,,SS-11,M,4.6,0.01
1980-09-30,,SS-11,S,1,0.023
1980-10-07,,SS-11,B,8.5,0.014
1980-10-07,,SS-11,M,4.6,0.011
1980-10-07,,SS-11,S,1,0.01
1980-10-20,,SS-11,B,7.9,0.015
1980-10-20,,SS-11,M,4,0.018
1980-10-20,,SS-11,S,1,0.016
1980-10-27,,SS-11,B,8.5,0.02
1980-10-27,,SS-11,M,4.6,0.028
1980-10-27,,SS-11,S,1,0.011
